mes;estado;dias;m3;clp;clp_esperado;sobrecosto_clp
abr-2025;Con WES;6;6279.77;7368387;7368387;0
may-2025;Con WES;31;32445.5;38070000;38070000;0
jun-2025;Con WES;30;29599.11;35205157;34730185;474972
jul-2025;Sin WES;31;21287.0;27921975;24977149;2944826
ago-2025;Sin WES;31;21737.71;28961761;25505992;3455769
sep-2025;Sin WES;30;23304.59;33259977;27344493;5915484
oct-2025;Sin WES;31;24294.11;34359137;28505554;5853583
nov-2025;Sin WES;30;24580.82;33202943;28841960;4360983
dic-2025;Sin WES;31;25185.63;33964083;29551612;4412471
ene-2026;Sin WES;31;24069.95;32166835;28242530;3924305
feb-2026;Sin WES;28;22381.06;30395011;26260864;4134147
mar-2026;Sin WES;31;29033.5;42560325;34066522;8493803
abr-2026;Sin WES;27;25287.24;37068670;29670842;7397828
