mes;estado;dias;m3;clp;clp_esperado;sobrecosto_clp
mar-2025;Con WES;31;16306.0;20297694;20555702;-258008
abr-2025;Con WES;30;15462.1;19338082;19491857;-153775
may-2025;Con WES;31;14663.49;18722652;18485120;237532
jun-2025;Con WES;30;14150.61;18132405;17838573;293832
jul-2025;Sin WES;31;14354.55;18828904;18095661;733243
ago-2025;Sin WES;31;14581.39;19476583;18381624;1094959
sep-2025;Sin WES;30;15025.71;21459914;18941746;2518168
oct-2025;Sin WES;31;15539.93;22016482;19589977;2426505
nov-2025;Sin WES;30;15125.9;20269195;19068044;1201151
dic-2025;Sin WES;31;15899.9;21625109;20043758;1581351
ene-2026;Sin WES;31;17721.03;26216958;22339521;3877437
feb-2026;Sin WES;28;16006.09;23679833;20177632;3502201
mar-2026;Sin WES;31;17010.95;24008155;21444381;2563774
abr-2026;Sin WES;27;14773.34;20777652;18623596;2154056
