mes;estado;dias;m3;clp;clp_esperado;sobrecosto_clp
mar-2025;Con WES;31;9144.47;11424697;11559583;-134886
abr-2025;Con WES;30;8967.78;11255837;11336229;-80392
may-2025;Con WES;31;9755.65;12456366;12332186;124180
jun-2025;Con WES;30;9132.56;11693947;11544531;149416
jul-2025;Sin WES;31;7365.6;9661708;9310906;350802
ago-2025;Sin WES;31;7588.19;10161683;9592284;569399
sep-2025;Sin WES;30;8240.95;11849914;10417445;1432469
oct-2025;Sin WES;31;8447.7;12032347;10678802;1353545
nov-2025;Sin WES;30;7731.36;10255683;9773261;482422
dic-2025;Sin WES;31;8665.3;12069078;10953871;1115207
ene-2026;Sin WES;31;11482.96;18200489;14515683;3684806
feb-2026;Sin WES;28;10371.7;16439151;13110940;3328211
mar-2026;Sin WES;31;10147.19;14565602;12827138;1738464
abr-2026;Sin WES;27;8757.64;12467833;11070597;1397236
