mes;estado;m3;clp;clp_esperado;sobrecosto_clp
mar-2025;Con WES;25450.47;31722391;32115285;-392894
abr-2025;Con WES;30709.65;37962306;38196473;-234167
may-2025;Con WES;56864.64;69249018;68887306;361712
jun-2025;Con WES;52882.28;65031509;64113289;918220
jul-2025;Sin WES;43007.15;56412587;52383716;4028871
ago-2025;Sin WES;43907.29;58600027;53479900;5120127
sep-2025;Sin WES;46571.26;66569805;56703684;9866121
oct-2025;Sin WES;48281.75;68407966;58774333;9633633
nov-2025;Sin WES;47438.08;63727821;57683265;6044556
dic-2025;Sin WES;49750.83;67658270;60549241;7109029
ene-2026;Sin WES;53273.94;76584282;65097734;11486548
feb-2026;Sin WES;48758.85;70513995;59549436;10964559
mar-2026;Sin WES;56191.65;81134082;68338041;12796041
abr-2026;Sin WES;48818.22;70314155;59365035;10949120
