fecha_hora_chile,m3_h
2026-08-04 12:00,217.400
2026-08-04 13:00,2.200
2026-08-04 14:00,2.200
2026-08-04 15:00,2.600
2026-08-04 16:00,2.400
2026-08-04 17:00,1.600
2026-08-04 18:00,1.400
2026-08-04 19:00,1.100
2026-08-04 20:00,1.100
2026-08-04 21:00,1.100
2026-08-04 22:00,1.100
2026-08-04 23:00,1.100
2026-08-05 00:00,0.000
2026-08-05 01:00,0.000
2026-08-05 02:00,0.000
2026-08-05 03:00,0.000
2026-08-05 04:00,0.000
2026-08-05 05:00,0.000
2026-08-05 06:00,0.000
2026-08-05 07:00,1.300
2026-08-05 08:00,1.100
2026-08-05 09:00,1.500
