fecha;estado;horas_cero_01_04;corte_desde;volvio_a
2026-01-01;no;0;;
2026-01-02;no;2;00:00;03:00
2026-01-03;no;1;03:00;04:00
2026-01-04;no;0;;
2026-01-05;no;1;00:00;02:00
2026-01-06;no;2;01:00;03:00
2026-01-07;parcial;1;04:00;08:00
2026-01-08;no;1;01:00;02:00
2026-01-09;parcial;1;04:00;08:00
2026-01-10;parcial;2;03:00;08:00
2026-01-11;no;1;02:00;03:00
2026-01-12;parcial;2;03:00;08:00
2026-01-13;parcial;2;03:00;08:00
2026-01-14;no;2;02:00;04:00
2026-01-15;parcial;2;03:00;08:00
2026-01-16;parcial;1;04:00;06:00
2026-01-17;no;1;01:00;02:00
2026-01-18;no;1;02:00;03:00
2026-01-19;parcial;2;03:00;08:00
2026-01-20;no;1;00:00;02:00
2026-01-21;no;0;;
2026-01-22;no;0;00:00;01:00
2026-01-23;parcial;3;02:00;08:00
2026-01-24;parcial;2;03:00;08:00
2026-01-25;completo;4;00:00;08:00
2026-01-26;parcial;3;02:00;08:00
2026-01-27;parcial;3;02:00;08:00
2026-01-28;parcial;2;03:00;08:00
2026-01-29;parcial;3;02:00;08:00
2026-01-30;completo;4;00:00;08:00
2026-01-31;parcial;3;02:00;08:00
