ciclo;inicio;fin;noches;hora_inicio_tipica;hora_fin_tipica;n_corte_nocturno;n_dia_completo
1;2025-04-09;2025-04-09;1;00:00;16:00;0;1
2;2025-04-25;2025-04-25;1;00:00;09:00;1;0
3;2025-04-29;2025-04-29;1;00:00;10:00;1;0
4;2025-05-03;2025-05-03;1;00:00;07:00;1;0
5;2025-05-05;2025-05-06;2;00:00;09:00;2;0
6;2025-05-13;2025-05-13;1;01:00;10:00;1;0
7;2025-05-17;2025-05-18;2;01:00;09:00;2;0
8;2025-07-02;2025-07-02;1;00:00;05:00;1;0
9;2025-07-13;2025-07-14;2;00:00;08:00;2;0
10;2025-07-16;2025-07-16;1;23:00 (día anterior);09:00;1;0
11;2025-08-03;2025-08-04;2;00:00;09:00;2;0
12;2025-08-25;2025-08-25;1;00:00;09:00;1;0
13;2025-09-14;2025-09-14;1;01:00;10:00;1;0
14;2025-09-19;2025-09-20;2;00:00;05:00;2;0
15;2025-09-27;2025-09-27;1;01:00;09:00;1;0
16;2025-10-04;2025-10-05;2;00:00;06:00;2;0
17;2025-10-09;2025-10-09;1;01:00;08:00;1;0
18;2025-10-11;2025-10-12;2;23:00 (día anterior);09:00;2;0
19;2025-10-15;2025-10-15;1;01:00;09:00;1;0
20;2025-10-19;2025-10-20;2;00:00;09:00;2;0
21;2025-10-25;2025-10-25;1;01:00;06:00;1;0
22;2025-10-27;2025-10-28;2;01:00;05:00;2;0
23;2025-11-25;2025-11-25;1;00:00;08:00;1;0
24;2025-11-27;2025-11-27;1;00:00;06:00;1;0
25;2025-12-08;2025-12-08;1;01:00;09:00;1;0
26;2025-12-15;2025-12-15;1;23:00 (día anterior);07:00;1;0
27;2026-01-25;2026-01-25;1;00:00;08:00;1;0
28;2026-01-30;2026-01-30;1;00:00;08:00;1;0
29;2026-02-05;2026-02-05;1;23:00 (día anterior);08:00;1;0
30;2026-02-13;2026-02-13;1;00:00;08:00;1;0
31;2026-02-17;2026-02-17;1;01:00;08:00;1;0
32;2026-03-17;2026-03-17;1;01:00;06:00;1;0
33;2026-03-23;2026-03-23;1;01:00;09:00;1;0
34;2026-04-09;2026-04-09;1;01:00;09:00;1;0
35;2026-04-22;2026-04-24;3;01:00;05:00;3;0
36;2026-05-10;2026-05-12;3;00:00;07:00;3;0
37;2026-05-16;2026-05-16;1;00:00;08:00;1;0
38;2026-05-26;2026-05-26;1;01:00;09:00;1;0
39;2026-05-30;2026-05-30;1;01:00;07:00;1;0
40;2026-06-03;2026-06-03;1;01:00;10:00;1;0
41;2026-06-06;2026-06-08;3;01:00;06:00;3;0
42;2026-06-13;2026-06-13;1;01:00;08:00;1;0
43;2026-06-18;2026-06-21;4;01:00;07:00;4;0
44;2026-06-23;2026-06-26;4;01:00;07:00;4;0
45;2026-06-28;2026-06-29;2;00:00;07:00;2;0
46;2026-07-01;2026-07-05;5;00:00;07:00;5;0
47;2026-07-07;2026-07-13;7;00:00;07:00;7;0
48;2026-07-16;2026-07-25;10;00:00;07:00;10;0
49;2026-07-31;2026-07-31;1;01:00;07:00;1;0
50;2026-08-02;2026-08-05;4;00:00;07:00;4;0
51;2026-08-09;2026-09-14;37;00:00;07:00;37;0
