fecha;rol_ciclo;en_cero_0030_0500;tipo;inicio_ciclo;fin_ciclo;h00;h01;h02;h03;h04;h05;h06;consumo_diurno_m3;consumo_dia_m3
2025-04-09;inicio y fin;SI;dia_completo;00:00;16:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-25;inicio y fin;SI;corte_nocturno;00:00;09:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.1;29.1
2025-04-29;inicio y fin;SI;corte_nocturno;00:00;10:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.49;23.49
2025-05-03;inicio y fin;SI;corte_nocturno;00:00;07:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.62;45.62
2025-05-05;INICIO ciclo;SI;corte_nocturno;00:00;09:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.71;35.71
2025-05-06;FIN ciclo;SI;corte_nocturno;01:00;09:00;0.01;0.0;0.0;0.0;0.0;0.0;0.0;27.31;27.32
2025-05-13;inicio y fin;SI;corte_nocturno;01:00;10:00;0.01;0.0;0.0;0.0;0.0;0.0;0.0;18.1;18.11
2025-05-17;INICIO ciclo;SI;corte_nocturno;01:00;09:00;0.02;0.0;0.0;0.0;0.0;0.0;0.0;36.94;36.96
2025-05-18;FIN ciclo;SI;corte_nocturno;23:00 (día anterior);10:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.91;21.91
2025-07-02;inicio y fin;SI;corte_nocturno;00:00;05:00;0.0;0.0;0.0;0.0;0.0;0.04;0.0;30.82;30.86
2025-07-13;INICIO ciclo;SI;corte_nocturno;00:00;10:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.64;13.64
2025-07-14;FIN ciclo;SI;corte_nocturno;01:00;08:00;0.01;0.0;0.0;0.0;0.0;0.0;0.0;10.43;10.44
2025-07-16;inicio y fin;SI;corte_nocturno;23:00 (día anterior);09:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.27;22.27
2025-08-03;INICIO ciclo;SI;corte_nocturno;01:00;10:00;0.01;0.0;0.0;0.0;0.0;0.0;0.0;19.17;19.18
2025-08-04;FIN ciclo;SI;corte_nocturno;00:00;09:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.79;16.79
2025-08-25;inicio y fin;SI;corte_nocturno;00:00;09:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.7;23.7
2025-09-14;inicio y fin;SI;corte_nocturno;01:00;10:00;0.78;0.0;0.0;0.0;0.0;0.0;0.0;28.85;29.63
2025-09-19;INICIO ciclo;SI;corte_nocturno;00:00;13:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48;0.48
2025-09-20;FIN ciclo;SI;corte_nocturno;23:00 (día anterior);05:00;0.0;0.0;0.0;0.0;0.0;0.01;0.0;23.49;23.5
2025-09-27;inicio y fin;SI;corte_nocturno;01:00;09:00;0.01;0.0;0.0;0.0;0.0;0.0;0.0;34.59;34.6
2025-10-04;INICIO ciclo;SI;corte_nocturno;00:00;06:00;0.0;0.0;0.0;0.0;0.0;0.0;0.01;34.94;34.95
2025-10-05;FIN ciclo;SI;corte_nocturno;01:00;06:00;0.01;0.0;0.0;0.0;0.0;0.0;0.02;18.5;18.53
2025-10-09;inicio y fin;SI;corte_nocturno;01:00;08:00;0.01;0.0;0.0;0.0;0.0;0.0;0.0;20.42;20.43
2025-10-11;INICIO ciclo;SI;corte_nocturno;23:00 (día anterior);09:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.49;36.49
2025-10-12;FIN ciclo;SI;corte_nocturno;23:00 (día anterior);10:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.1;17.1
2025-10-15;inicio y fin;SI;corte_nocturno;01:00;09:00;0.01;0.0;0.0;0.0;0.0;0.0;0.0;21.39;21.4
2025-10-19;INICIO ciclo;SI;corte_nocturno;01:00;10:00;0.01;0.0;0.0;0.0;0.0;0.0;0.0;11.58;11.59
2025-10-20;FIN ciclo;SI;corte_nocturno;00:00;09:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.58;28.58
2025-10-25;inicio y fin;SI;corte_nocturno;01:00;06:00;0.01;0.0;0.0;0.0;0.0;0.0;0.01;38.88;38.9
2025-10-27;INICIO ciclo;SI;corte_nocturno;01:00;07:00;0.14;0.0;0.0;0.0;0.0;0.0;0.0;26.3;26.44
2025-10-28;FIN ciclo;SI;corte_nocturno;01:00;05:00;0.01;0.0;0.0;0.0;0.0;0.01;0.0;27.09;27.11
2025-11-25;inicio y fin;SI;corte_nocturno;00:00;08:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.42;73.42
2025-11-27;inicio y fin;SI;corte_nocturno;00:00;06:00;0.0;0.0;0.0;0.0;0.0;0.0;0.01;30.99;31.0
2025-12-08;inicio y fin;SI;corte_nocturno;01:00;09:00;0.28;0.0;0.0;0.0;0.0;0.0;0.0;48.91;49.19
2025-12-15;inicio y fin;SI;corte_nocturno;23:00 (día anterior);07:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.37;39.37
2026-01-25;inicio y fin;SI;corte_nocturno;00:00;08:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.8;23.8
2026-01-30;inicio y fin;SI;corte_nocturno;00:00;08:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.6;42.6
2026-02-05;inicio y fin;SI;corte_nocturno;23:00 (día anterior);08:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.4;38.4
2026-02-13;inicio y fin;SI;corte_nocturno;00:00;08:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.35;24.35
2026-02-17;inicio y fin;SI;corte_nocturno;01:00;08:00;0.89;0.0;0.0;0.0;0.0;0.0;0.0;26.42;27.31
2026-03-17;inicio y fin;SI;corte_nocturno;01:00;06:00;0.57;0.0;0.0;0.0;0.0;0.0;0.01;26.75;27.33
2026-03-23;inicio y fin;SI;corte_nocturno;01:00;09:00;0.46;0.0;0.0;0.0;0.0;0.0;0.0;22.55;23.01
2026-04-09;inicio y fin;SI;corte_nocturno;01:00;09:00;0.08;0.0;0.0;0.0;0.0;0.0;0.0;25.33;25.41
2026-04-22;INICIO ciclo;SI;corte_nocturno;01:00;05:00;0.15;0.0;0.0;0.0;0.0;0.04;0.0;72.23;72.42
2026-04-23;;SI;corte_nocturno;01:00;05:00;0.06;0.0;0.0;0.0;0.0;0.02;0.04;40.4;40.52
2026-04-24;FIN ciclo;SI;corte_nocturno;01:00;09:00;0.04;0.0;0.0;0.0;0.0;0.0;0.0;38.04;38.08
2026-05-10;INICIO ciclo;SI;corte_nocturno;00:00;08:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.76;16.76
2026-05-11;;SI;corte_nocturno;00:00;07:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.99;19.99
2026-05-12;FIN ciclo;SI;corte_nocturno;00:00;07:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.82;14.82
2026-05-16;inicio y fin;SI;corte_nocturno;00:00;08:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;33.3
2026-05-26;inicio y fin;SI;corte_nocturno;01:00;09:00;0.26;0.0;0.0;0.0;0.0;0.0;0.0;16.95;17.21
2026-05-30;inicio y fin;SI;corte_nocturno;01:00;07:00;0.48;0.0;0.0;0.0;0.0;0.0;0.0;33.44;33.92
2026-06-03;inicio y fin;SI;corte_nocturno;01:00;10:00;0.33;0.0;0.0;0.0;0.0;0.0;0.0;31.77;32.1
2026-06-06;INICIO ciclo;SI;corte_nocturno;01:00;08:00;0.11;0.0;0.0;0.0;0.0;0.0;0.0;29.29;29.4
2026-06-07;;SI;corte_nocturno;01:00;06:00;0.14;0.0;0.0;0.0;0.0;0.0;0.07;23.41;23.62
2026-06-08;FIN ciclo;SI;corte_nocturno;00:00;09:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.79;25.79
2026-06-13;inicio y fin;SI;corte_nocturno;01:00;08:00;0.01;0.0;0.0;0.0;0.0;0.0;0.0;26.21;26.22
2026-06-18;INICIO ciclo;SI;corte_nocturno;00:00;07:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.3;23.3
2026-06-19;;SI;corte_nocturno;01:00;07:00;0.08;0.0;0.0;0.0;0.0;0.0;0.0;25.62;25.7
2026-06-20;;SI;corte_nocturno;01:00;07:00;0.17;0.0;0.0;0.0;0.0;0.0;0.0;34.06;34.23
2026-06-21;FIN ciclo;SI;corte_nocturno;01:00;07:00;0.06;0.0;0.0;0.0;0.0;0.0;0.0;18.36;18.42
2026-06-23;INICIO ciclo;SI;corte_nocturno;01:00;07:00;0.01;0.0;0.0;0.0;0.0;0.0;0.0;23.05;23.06
2026-06-24;;SI;corte_nocturno;01:00;07:00;0.01;0.0;0.0;0.0;0.0;0.0;0.0;25.21;25.22
