TIME,VALUE
2026-03-07T00:00:00.000Z,  0.00
2026-03-07T01:00:00.000Z,  0.00
2026-03-07T02:00:00.000Z,  0.00
2026-03-07T03:00:00.000Z,  0.00
2026-03-07T04:00:00.000Z,  0.00
2026-03-07T05:00:00.000Z,  0.00
2026-03-07T06:00:00.000Z,  0.00
2026-03-07T07:00:00.000Z,  0.00
2026-03-07T08:00:00.000Z,  0.00
2026-03-07T09:00:00.000Z,  0.00
2026-03-07T10:00:00.000Z,  0.00
2026-03-07T11:00:00.000Z,  0.01
2026-03-07T12:00:00.000Z,  0.00
2026-03-07T13:00:00.000Z,  0.04
2026-03-07T14:00:00.000Z, 37.00
2026-03-07T15:00:00.000Z,  1.72
2026-03-07T16:00:00.000Z,  0.00
2026-03-07T17:00:00.000Z,  0.00
2026-03-07T18:00:00.000Z,  0.01
2026-03-07T19:00:00.000Z,  0.00
2026-03-07T20:00:00.000Z,  0.00
2026-03-07T21:00:00.000Z,  0.04
2026-03-07T22:00:00.000Z,  0.01
2026-03-07T23:00:00.000Z,  0.00
2026-03-07T00:00:00.000Z,  0.00
2026-03-07T01:00:00.000Z,  0.00
2026-03-07T02:00:00.000Z,  0.00
2026-03-07T03:00:00.000Z,  0.00
2026-03-07T04:00:00.000Z,  0.00
2026-03-07T05:00:00.000Z,  0.00
2026-03-07T06:00:00.000Z,  0.00
2026-03-07T07:00:00.000Z,  0.00
2026-03-07T08:00:00.000Z,  0.00
2026-03-07T09:00:00.000Z,  0.00
2026-03-07T10:00:00.000Z,  0.00
2026-03-07T11:00:00.000Z,  0.01
2026-03-07T12:00:00.000Z,  0.00
2026-03-07T13:00:00.000Z,  0.04
2026-03-07T14:00:00.000Z, 37.00
2026-03-07T15:00:00.000Z,  1.72
2026-03-07T16:00:00.000Z,  0.00
2026-03-07T17:00:00.000Z,  0.00
2026-03-07T18:00:00.000Z,  0.01
2026-03-07T19:00:00.000Z,  0.00
2026-03-07T20:00:00.000Z,  0.00
2026-03-07T21:00:00.000Z,  0.04
2026-03-07T22:00:00.000Z,  0.01
2026-03-07T23:00:00.000Z,  0.00
2026-03-08T00:00:00.000Z,  0.00
2026-03-08T01:00:00.000Z,  0.00
2026-03-08T02:00:00.000Z,  0.00
2026-03-08T03:00:00.000Z,  0.00
2026-03-08T04:00:00.000Z,  0.00
2026-03-08T05:00:00.000Z,  0.00
2026-03-08T06:00:00.000Z,  0.00
2026-03-08T07:00:00.000Z,  0.00
2026-03-08T08:00:00.000Z,  0.00
2026-03-08T09:00:00.000Z,  0.01
2026-03-08T10:00:00.000Z,  0.00
2026-03-08T11:00:00.000Z,  0.00
2026-03-08T12:00:00.000Z,  0.00
2026-03-08T13:00:00.000Z,  0.00
2026-03-08T14:00:00.000Z, 22.61
2026-03-08T15:00:00.000Z,  0.00
2026-03-08T16:00:00.000Z,  0.00
2026-03-08T17:00:00.000Z,  0.32
2026-03-08T18:00:00.000Z,  0.79
2026-03-08T19:00:00.000Z,  0.50
2026-03-08T20:00:00.000Z,  0.00
2026-03-08T21:00:00.000Z,  0.00
2026-03-08T22:00:00.000Z,  0.00
2026-03-08T23:00:00.000Z,  0.51
2026-03-08T00:00:00.000Z,  0.00
2026-03-08T01:00:00.000Z,  0.00
2026-03-08T02:00:00.000Z,  0.00
2026-03-08T03:00:00.000Z,  0.00
2026-03-08T04:00:00.000Z,  0.00
2026-03-08T05:00:00.000Z,  0.00
2026-03-08T06:00:00.000Z,  0.00
2026-03-08T07:00:00.000Z,  0.00
2026-03-08T08:00:00.000Z,  0.00
2026-03-08T09:00:00.000Z,  0.01
2026-03-08T10:00:00.000Z,  0.00
2026-03-08T11:00:00.000Z,  0.00
2026-03-08T12:00:00.000Z,  0.00
2026-03-08T13:00:00.000Z,  0.00
2026-03-08T14:00:00.000Z, 22.61
2026-03-08T15:00:00.000Z,  0.00
2026-03-08T16:00:00.000Z,  0.00
2026-03-08T17:00:00.000Z,  0.32
2026-03-08T18:00:00.000Z,  0.79
2026-03-08T19:00:00.000Z,  0.50
2026-03-08T20:00:00.000Z,  0.00
2026-03-08T21:00:00.000Z,  0.00
2026-03-08T22:00:00.000Z,  0.00
2026-03-08T23:00:00.000Z,  0.51
