TIME,VALUE
2026-02-04T00:00:00.000Z,  0.43
2026-02-04T01:00:00.000Z,  0.38
2026-02-04T02:00:00.000Z,  0.43
2026-02-04T03:00:00.000Z,  0.43
2026-02-04T04:00:00.000Z,  0.44
2026-02-04T05:00:00.000Z,  0.45
2026-02-04T06:00:00.000Z,  0.37
2026-02-04T07:00:00.000Z,  0.79
2026-02-04T08:00:00.000Z,  1.07
2026-02-04T09:00:00.000Z,  0.84
2026-02-04T10:00:00.000Z,  0.75
2026-02-04T11:00:00.000Z,  0.23
2026-02-04T12:00:00.000Z,  0.16
2026-02-04T13:00:00.000Z,  0.19
2026-02-04T14:00:00.000Z,  0.04
2026-02-04T15:00:00.000Z,  0.08
2026-02-04T16:00:00.000Z,  0.52
2026-02-04T17:00:00.000Z,  0.73
2026-02-04T18:00:00.000Z,  0.74
2026-02-04T19:00:00.000Z,  0.73
2026-02-04T20:00:00.000Z,  0.15
2026-02-04T21:00:00.000Z,  0.00
2026-02-04T22:00:00.000Z,  0.00
2026-02-04T23:00:00.000Z,  0.11
2026-02-04T00:00:00.000Z,  0.43
2026-02-04T01:00:00.000Z,  0.38
2026-02-04T02:00:00.000Z,  0.43
2026-02-04T03:00:00.000Z,  0.43
2026-02-04T04:00:00.000Z,  0.44
2026-02-04T05:00:00.000Z,  0.45
2026-02-04T06:00:00.000Z,  0.37
2026-02-04T07:00:00.000Z,  0.79
2026-02-04T08:00:00.000Z,  1.07
2026-02-04T09:00:00.000Z,  0.84
2026-02-04T10:00:00.000Z,  0.75
2026-02-04T11:00:00.000Z,  0.23
2026-02-04T12:00:00.000Z,  0.16
2026-02-04T13:00:00.000Z,  0.19
2026-02-04T14:00:00.000Z,  0.04
2026-02-04T15:00:00.000Z,  0.08
2026-02-04T16:00:00.000Z,  0.52
2026-02-04T17:00:00.000Z,  0.73
2026-02-04T18:00:00.000Z,  0.74
2026-02-04T19:00:00.000Z,  0.73
2026-02-04T20:00:00.000Z,  0.15
2026-02-04T21:00:00.000Z,  0.00
2026-02-04T22:00:00.000Z,  0.00
2026-02-04T23:00:00.000Z,  0.11
2026-02-05T00:00:00.000Z,  0.32
2026-02-05T01:00:00.000Z,  0.40
2026-02-05T02:00:00.000Z,  0.47
2026-02-05T03:00:00.000Z,  0.50
2026-02-05T04:00:00.000Z,  0.53
2026-02-05T05:00:00.000Z,  0.54
2026-02-05T06:00:00.000Z,  0.50
2026-02-05T07:00:00.000Z,  0.62
2026-02-05T08:00:00.000Z,  1.76
2026-02-05T09:00:00.000Z,  2.71
2026-02-05T10:00:00.000Z,  0.58
2026-02-05T11:00:00.000Z,  0.00
2026-02-05T12:00:00.000Z,  0.83
2026-02-05T13:00:00.000Z,  0.45
2026-02-05T14:00:00.000Z,  0.30
2026-02-05T15:00:00.000Z,  0.71
2026-02-05T16:00:00.000Z,  0.73
2026-02-05T17:00:00.000Z,  0.80
2026-02-05T18:00:00.000Z,  2.15
2026-02-05T19:00:00.000Z,  3.66
2026-02-05T20:00:00.000Z,  0.16
2026-02-05T21:00:00.000Z,  0.00
2026-02-05T22:00:00.000Z,  0.00
2026-02-05T23:00:00.000Z,  0.01
2026-02-05T00:00:00.000Z,  0.32
2026-02-05T01:00:00.000Z,  0.40
2026-02-05T02:00:00.000Z,  0.47
2026-02-05T03:00:00.000Z,  0.50
2026-02-05T04:00:00.000Z,  0.53
2026-02-05T05:00:00.000Z,  0.54
2026-02-05T06:00:00.000Z,  0.50
2026-02-05T07:00:00.000Z,  0.62
2026-02-05T08:00:00.000Z,  1.76
2026-02-05T09:00:00.000Z,  2.71
2026-02-05T10:00:00.000Z,  0.58
2026-02-05T11:00:00.000Z,  0.00
2026-02-05T12:00:00.000Z,  0.83
2026-02-05T13:00:00.000Z,  0.45
2026-02-05T14:00:00.000Z,  0.30
2026-02-05T15:00:00.000Z,  0.71
2026-02-05T16:00:00.000Z,  0.73
2026-02-05T17:00:00.000Z,  0.80
2026-02-05T18:00:00.000Z,  2.15
2026-02-05T19:00:00.000Z,  3.66
2026-02-05T20:00:00.000Z,  0.16
2026-02-05T21:00:00.000Z,  0.00
2026-02-05T22:00:00.000Z,  0.00
2026-02-05T23:00:00.000Z,  0.01
