TIME,VALUE
2026-02-19T00:00:00.000Z,  1.32
2026-02-19T01:00:00.000Z,  1.28
2026-02-19T02:00:00.000Z,  1.30
2026-02-19T03:00:00.000Z,  1.31
2026-02-19T04:00:00.000Z,  1.31
2026-02-19T05:00:00.000Z,  1.34
2026-02-19T06:00:00.000Z,  1.32
2026-02-19T07:00:00.000Z,  1.40
2026-02-19T08:00:00.000Z,  1.48
2026-02-19T09:00:00.000Z,  1.55
2026-02-19T10:00:00.000Z,  1.62
2026-02-19T11:00:00.000Z,  1.61
2026-02-19T12:00:00.000Z,  1.61
2026-02-19T13:00:00.000Z,  1.59
2026-02-19T14:00:00.000Z,  1.64
2026-02-19T15:00:00.000Z,  1.60
2026-02-19T16:00:00.000Z,  1.62
2026-02-19T17:00:00.000Z,  1.66
2026-02-19T18:00:00.000Z,  1.60
2026-02-19T19:00:00.000Z,  1.55
2026-02-19T20:00:00.000Z,  1.47
2026-02-19T21:00:00.000Z,  1.44
2026-02-19T22:00:00.000Z,  1.40
2026-02-19T23:00:00.000Z,  1.42
2026-02-20T00:00:00.000Z,  1.33
2026-02-20T01:00:00.000Z,  1.31
2026-02-20T02:00:00.000Z,  1.30
2026-02-20T03:00:00.000Z,  1.30
2026-02-20T04:00:00.000Z,  1.32
2026-02-20T05:00:00.000Z,  1.32
2026-02-20T06:00:00.000Z,  1.36
2026-02-20T07:00:00.000Z,  1.45
2026-02-20T08:00:00.000Z,  1.46
2026-02-20T09:00:00.000Z,  1.55
2026-02-20T10:00:00.000Z,  1.58
2026-02-20T11:00:00.000Z,  1.59
2026-02-20T12:00:00.000Z,  1.67
2026-02-20T13:00:00.000Z,  1.36
2026-02-20T14:00:00.000Z,  0.05
2026-02-20T15:00:00.000Z,  0.05
2026-02-20T16:00:00.000Z,  0.04
2026-02-20T17:00:00.000Z,  0.02
2026-02-20T18:00:00.000Z,  0.03
2026-02-20T19:00:00.000Z,  0.03
2026-02-20T20:00:00.000Z,  0.03
2026-02-20T21:00:00.000Z,  0.03
2026-02-20T22:00:00.000Z,  0.03
2026-02-20T23:00:00.000Z,  0.02
