metrica,valor
node_id,000017-04
punto,ICCO Renca (Esc. Lo Velásquez-Renca)
ventana_horaria_chile,"08:00 a 15:00 (hora inicio inclusive, fin exclusivo)"
total_m3_referencia,13.710000
total_m3_auditoria,15.200000
ahorro_m3_referencia_menos_auditoria,-1.490000
rendimiento_ahorro_pct_sobre_referencia,-10.8680

indice,etiqueta,m3_h_referencia,m3_h_auditoria
0,"D1 08:00
30-03-26",0.23,1.12
1,"D1 09:00
30-03-26",1.42,0.37
2,"D1 10:00
30-03-26",0.28,3.65
3,"D1 11:00
30-03-26",1.53,0.45
4,"D1 12:00
30-03-26",0.96,0.34
5,"D1 13:00
30-03-26",0.71,0.16
6,"D1 14:00
30-03-26",0.21,0.05
7,"D2 08:00
31-03-26",0.11,1.13
8,"D2 09:00
31-03-26",0.71,0.73
9,"D2 10:00
31-03-26",0.74,1.27
10,"D2 11:00
31-03-26",1.72,0.57
11,"D2 12:00
31-03-26",0.41,0.42
12,"D2 13:00
31-03-26",0.39,0.17
13,"D2 14:00
31-03-26",0.16,0.05
14,"D3 08:00
01-04-26",0.29,1.42
15,"D3 09:00
01-04-26",1.03,0.95
16,"D3 10:00
01-04-26",0.57,1.64
17,"D3 11:00
01-04-26",1.47,0.71
