metrica,valor
node_id,000017-04
punto,Colegio ICCO Renca
ventana_horaria_chile,"00:00 a 24:00 (hora inicio inclusive, fin exclusivo)"
total_m3_referencia,24.880000
total_m3_auditoria,29.690000
nota,total_ref = periodo con control; total_aud = periodo sin control
ahorro_m3_referencia_menos_auditoria,-4.810000
rendimiento_ahorro_pct_sobre_referencia,-19.3328

indice,etiqueta,m3_h_referencia,m3_h_auditoria
0,"D1 00:00
23-03-26",0.0,0.0
1,"D1 01:00
23-03-26",0.0,0.0
2,"D1 02:00
23-03-26",0.0,0.0
3,"D1 03:00
23-03-26",0.0,0.0
4,"D1 04:00
23-03-26",0.02,0.29
5,"D1 05:00
23-03-26",0.03,0.25
6,"D1 06:00
23-03-26",0.83,0.95
7,"D1 07:00
23-03-26",0.83,0.25
8,"D1 08:00
23-03-26",0.4,1.12
9,"D1 09:00
23-03-26",0.47,0.37
10,"D1 10:00
23-03-26",0.44,3.65
11,"D1 11:00
23-03-26",1.42,0.45
12,"D1 12:00
23-03-26",0.36,0.34
13,"D1 13:00
23-03-26",0.41,0.16
14,"D1 14:00
23-03-26",0.25,0.05
15,"D1 15:00
23-03-26",0.07,0.0
16,"D1 16:00
23-03-26",0.0,0.0
17,"D1 17:00
23-03-26",0.0,0.0
18,"D1 18:00
23-03-26",0.42,0.0
19,"D1 19:00
23-03-26",0.0,0.0
20,"D1 20:00
23-03-26",0.0,0.0
21,"D1 21:00
23-03-26",0.0,0.0
22,"D1 22:00
23-03-26",0.0,0.0
23,"D1 23:00
23-03-26",0.0,0.0
24,"D2 00:00
24-03-26",0.0,0.0
25,"D2 01:00
24-03-26",0.0,0.0
26,"D2 02:00
24-03-26",0.0,0.0
27,"D2 03:00
24-03-26",0.0,0.0
28,"D2 04:00
24-03-26",0.52,0.02
29,"D2 05:00
24-03-26",0.83,0.99
30,"D2 06:00
24-03-26",0.95,0.98
31,"D2 07:00
24-03-26",0.79,0.2
32,"D2 08:00
24-03-26",0.58,1.13
33,"D2 09:00
24-03-26",0.63,0.73
34,"D2 10:00
24-03-26",0.91,1.27
35,"D2 11:00
24-03-26",1.76,0.57
36,"D2 12:00
24-03-26",0.28,0.42
37,"D2 13:00
24-03-26",0.4,0.17
38,"D2 14:00
24-03-26",0.21,0.05
39,"D2 15:00
24-03-26",0.24,0.0
40,"D2 16:00
24-03-26",0.0,0.0
41,"D2 17:00
24-03-26",0.0,0.0
42,"D2 18:00
24-03-26",0.0,0.0
43,"D2 19:00
24-03-26",0.0,0.0
44,"D2 20:00
24-03-26",0.0,0.0
45,"D2 21:00
24-03-26",0.0,0.0
46,"D2 22:00
24-03-26",0.0,0.0
47,"D2 23:00
24-03-26",0.0,0.0
48,"D3 00:00
25-03-26",0.0,0.0
49,"D3 01:00
25-03-26",0.0,0.0
50,"D3 02:00
25-03-26",0.0,0.0
51,"D3 03:00
25-03-26",0.0,0.0
52,"D3 04:00
25-03-26",0.03,0.02
53,"D3 05:00
25-03-26",0.15,0.36
54,"D3 06:00
25-03-26",0.23,1.12
55,"D3 07:00
25-03-26",0.79,0.42
56,"D3 08:00
25-03-26",0.89,1.42
57,"D3 09:00
25-03-26",0.79,0.95
58,"D3 10:00
25-03-26",0.49,1.64
59,"D3 11:00
25-03-26",1.84,0.71
60,"D3 12:00
25-03-26",0.2,0.6
61,"D3 13:00
25-03-26",0.0,0.04
62,"D3 14:00
25-03-26",0.12,0.07
63,"D3 15:00
25-03-26",0.03,0.0
64,"D3 16:00
25-03-26",0.0,0.0
65,"D3 17:00
25-03-26",0.0,0.0
66,"D3 18:00
25-03-26",0.0,0.0
67,"D3 19:00
25-03-26",0.0,0.0
68,"D3 20:00
25-03-26",0.0,0.0
69,"D3 21:00
25-03-26",0.0,0.0
70,"D3 22:00
25-03-26",0.0,0.0
71,"D3 23:00
25-03-26",0.0,0.0
72,"D4 00:00
26-03-26",0.0,0.0
73,"D4 01:00
26-03-26",0.0,0.0
74,"D4 02:00
26-03-26",0.0,0.0
75,"D4 03:00
26-03-26",0.0,0.05
76,"D4 04:00
26-03-26",0.01,0.06
77,"D4 05:00
26-03-26",0.02,0.9
78,"D4 06:00
26-03-26",0.16,1.14
79,"D4 07:00
26-03-26",0.97,0.38
80,"D4 08:00
26-03-26",0.25,1.68
81,"D4 09:00
26-03-26",0.7,0.75
82,"D4 10:00
26-03-26",0.46,1.82
83,"D4 11:00
26-03-26",1.85,0.48
84,"D4 12:00
26-03-26",0.31,0.26
85,"D4 13:00
26-03-26",0.2,0.31
86,"D4 14:00
26-03-26",0.19,0.09
87,"D4 15:00
26-03-26",0.15,0.01
88,"D4 16:00
26-03-26",0.0,0.0
89,"D4 17:00
26-03-26",0.0,0.0
90,"D4 18:00
26-03-26",0.0,0.0
91,"D4 19:00
26-03-26",0.0,0.0
92,"D4 20:00
26-03-26",0.0,0.0
93,"D4 21:00
26-03-26",0.0,0.0
94,"D4 22:00
26-03-26",0.0,0.0
95,"D4 23:00
26-03-26",0.0,0.0

nota_comparacion_24h,Total diario = suma horas 0-23 (m³/h); aproxima consumo del día en m³.
dia,fecha_con,fecha_sin,total_m3_con,total_m3_sin,diferencia_con_menos_sin
Lunes,2026-03-23,2026-04-06,5.950000,7.880000,-1.930000
Martes,2026-03-24,2026-04-07,8.100000,6.530000,1.570000
Miércoles,2026-03-25,2026-04-08,5.560000,7.350000,-1.790000
Jueves,2026-03-26,2026-04-09,5.270000,7.930000,-2.660000
