fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_con_consumo_00_06,consumo_total_00_06,consumo_max_hora_00_06
2026-03-12,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,22:00(4.130); 23:00(4.070); 00:00(4.150); 01:00(4.200); 02:00(4.270); 03:00(4.280); 04:00(4.300); 05:00(4.290); 06:00(4.250),37.94,4.3
2026-03-12,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,00:00(1.200); 01:00(1.400); 02:00(1.400); 03:00(1.400); 04:00(1.300); 05:00(1.300); 06:00(1.400),9.4,1.4
2026-03-12,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,00:00(2.800); 01:00(2.800); 02:00(2.900); 03:00(2.900); 04:00(2.800); 05:00(3.000); 06:00(2.900),20.1,3.0
2026-03-12,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00(0.740); 01:00(0.750); 02:00(0.740); 03:00(0.770); 04:00(0.750); 05:00(0.750); 06:00(0.760),5.26,0.77
2026-03-12,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,00:00(0.400); 01:00(0.500); 02:00(0.500); 03:00(0.400); 04:00(0.500); 05:00(0.500); 06:00(0.500),3.3,0.5
2026-03-12,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,00:00(0.700); 01:00(0.600); 02:00(0.600); 03:00(0.740); 04:00(0.550); 05:00(0.610); 06:00(0.600),4.4,0.74
2026-03-12,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,01:00(0.200),0.2,0.2
2026-03-12,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,23:00(1.100); 00:00(1.000); 01:00(1.200); 02:00(1.100); 03:00(1.200); 04:00(1.200); 05:00(1.100); 06:00(1.100),9.0,1.2
2026-03-12,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,23:00(0.300); 00:00(0.050); 01:00(0.040); 02:00(0.040); 03:00(0.030); 04:00(0.040); 05:00(0.040); 06:00(0.030),0.57,0.3
2026-03-12,PROVIDENCIA,CARMELA CARVAJAL,000006-02,000006-02,CARMELA CARVAJAL,06:00(0.800),0.8,0.8
2026-03-12,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,23:00(0.060); 00:00(64.000); 01:00(64.000); 02:00(64.000); 03:00(64.000); 04:00(64.000); 05:00(64.000); 06:00(64.000),448.06,64.0
2026-03-13,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,22:00(3.980); 23:00(4.000); 00:00(4.180); 01:00(4.190); 02:00(4.310); 03:00(4.330); 04:00(4.330); 05:00(4.320); 06:00(4.280),37.92,4.33
2026-03-13,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,00:00(1.200); 01:00(1.300); 02:00(1.400); 03:00(1.300); 04:00(1.300); 05:00(1.400); 06:00(1.300),9.2,1.4
2026-03-13,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,00:00(2.900); 01:00(2.700); 02:00(2.900); 03:00(2.900); 04:00(2.900); 05:00(2.900); 06:00(2.900),20.1,2.9
2026-03-13,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00(0.730); 01:00(0.740); 02:00(0.760); 03:00(0.770); 04:00(0.750); 05:00(0.710); 06:00(0.110),4.57,0.77
2026-03-13,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,00:00(0.400); 01:00(0.500); 02:00(0.500); 03:00(0.400); 04:00(0.500); 05:00(0.500); 06:00(0.500),3.3,0.5
2026-03-13,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,00:00(1.050); 01:00(1.110); 02:00(1.020); 03:00(1.060); 04:00(1.080); 05:00(1.000); 06:00(1.010),7.33,1.11
2026-03-13,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,00:00(0.020); 01:00(0.290); 03:00(0.090); 04:00(0.100); 05:00(0.020),0.52,0.29
2026-03-13,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,00:00(0.100); 01:00(0.280); 02:00(0.010); 03:00(0.160); 04:00(0.370); 05:00(0.380); 06:00(0.250),1.55,0.38
2026-03-13,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,23:00(1.300); 00:00(1.200); 01:00(1.100); 02:00(1.100); 03:00(1.200); 04:00(1.200); 05:00(1.300); 06:00(1.100),9.5,1.3
2026-03-13,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,23:00(0.100),0.1,0.1
2026-03-13,PROVIDENCIA,CARMELA CARVAJAL,000006-02,000006-02,CARMELA CARVAJAL,06:00(0.900),0.9,0.9
2026-03-13,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,23:00(64.000); 00:00(0.050); 01:00(0.060); 02:00(0.060); 03:00(0.050); 04:00(0.060); 05:00(0.060); 06:00(0.060),64.4,64.0
2026-03-14,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,22:00(4.040); 23:00(4.080); 00:00(4.090); 01:00(4.110); 02:00(4.180); 03:00(4.210); 04:00(4.210); 05:00(4.230); 06:00(4.200),37.35,4.23
2026-03-14,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,00:00(1.300); 01:00(1.300); 02:00(1.300); 03:00(1.300); 04:00(1.400); 05:00(1.400); 06:00(1.300),9.3,1.4
2026-03-14,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,00:00(2.800); 01:00(2.800); 02:00(2.900); 03:00(2.900); 04:00(2.900); 05:00(3.000); 06:00(2.900),20.2,3.0
2026-03-14,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00(0.090); 01:00(0.100); 02:00(0.090); 03:00(0.100); 04:00(0.100); 05:00(0.100); 06:00(0.100),0.68,0.1
2026-03-14,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,00:00(0.400); 01:00(0.500); 02:00(0.500); 03:00(0.500); 04:00(0.400); 05:00(0.500); 06:00(0.500),3.3,0.5
2026-03-14,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,00:00(0.600); 01:00(0.700); 02:00(0.690); 03:00(0.610); 04:00(0.600); 05:00(0.630); 06:00(0.670),4.5,0.7
2026-03-14,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,00:00(0.080); 01:00(0.240); 02:00(0.070),0.39,0.24
2026-03-14,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,00:00(0.210); 01:00(0.010); 02:00(0.370); 03:00(0.600); 04:00(0.510); 05:00(0.470); 06:00(0.470),2.64,0.6
2026-03-14,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,23:00(1.300); 00:00(1.200); 01:00(2.100); 02:00(2.100); 03:00(1.400); 04:00(1.300); 05:00(1.400); 06:00(2.100),12.9,2.1
