fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_detectadas,consumo_max_hora
2026-03-17,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,00:00-06:00,4.36
2026-03-17,RENCA,CUMBRE DE CONDORES PONIENTE,000017-07,000017-07,CUMBRE DE CONDORES PONIENTE,06:00,0.1
2026-03-17,RENCA,CUMBRE DE CONDORES ORIENTE,000017-08,000017-08,CUMBRE DE CONDORES ORIENTE,20:00,0.4
2026-03-17,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,00:00-06:00,1.4
2026-03-17,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,00:00-06:00,3.3
2026-03-17,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00-06:00,0.12
2026-03-17,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,00:00-06:00,0.6
2026-03-17,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,00:00-06:00,0.87
2026-03-17,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,00:00-02:00,0.08
2026-03-17,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,00:00-06:00,1.44
2026-03-17,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,00:00-06:00,3.3
2026-03-17,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,23:00,0.3
2026-03-17,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,00:00-06:00,0.08
2026-03-18,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,00:00-06:00,4.38
2026-03-18,RENCA,CUMBRE DE CONDORES PONIENTE,000017-07,000017-07,CUMBRE DE CONDORES PONIENTE,20:00,0.1
2026-03-18,RENCA,CUMBRE DE CONDORES ORIENTE,000017-08,000017-08,CUMBRE DE CONDORES ORIENTE,20:00,0.3
2026-03-18,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,00:00-06:00,5.2
2026-03-18,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,00:00-06:00,3.2
2026-03-18,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00-06:00,0.34
2026-03-18,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,00:00-06:00,0.6
2026-03-18,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,00:00-06:00,1.14
2026-03-18,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,00:00-02:00,0.11
2026-03-18,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,00:00-02:00; 05:00-06:00,0.36
2026-03-18,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,00:00,1.0
2026-03-18,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,23:00,0.2
2026-03-18,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,00:00-06:00,0.11
2026-03-19,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,00:00-06:00,4.34
2026-03-19,RENCA,CUMBRE DE CONDORES ORIENTE,000017-08,000017-08,CUMBRE DE CONDORES ORIENTE,20:00,0.4
2026-03-19,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,00:00,0.3
2026-03-19,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,00:00-06:00,3.7
2026-03-19,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00-06:00,0.32
2026-03-19,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,00:00-06:00,0.6
2026-03-19,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,00:00-06:00,0.82
2026-03-19,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,00:00-01:00,0.13
2026-03-19,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,00:00-03:00,0.39
2026-03-19,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,00:00,1.4
2026-03-19,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,23:00,0.1
2026-03-19,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,00:00-06:00,64.0
2026-03-20,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,00:00-06:00,4.34
2026-03-20,RENCA,CUMBRE DE CONDORES PONIENTE,000017-07,000017-07,CUMBRE DE CONDORES PONIENTE,04:00,0.1
2026-03-20,RENCA,CUMBRE DE CONDORES ORIENTE,000017-08,000017-08,CUMBRE DE CONDORES ORIENTE,20:00,0.3
2026-03-20,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,00:00-06:00,3.4
2026-03-20,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00-06:00,0.14
2026-03-20,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,00:00-06:00,0.6
2026-03-20,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,00:00-06:00,1.05
2026-03-20,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,00:00; 02:00-03:00; 06:00,0.15
2026-03-20,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,23:00,1.5
2026-03-20,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,23:00,0.2
2026-03-20,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,00:00-03:00; 05:00-06:00,64.0
