fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_con_consumo_corte,consumo_max_hora_corte
2026-03-20,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,00:00-06:00,4.34
2026-03-20,RENCA,CUMBRE DE CONDORES PONIENTE,000017-07,000017-07,CUMBRE DE CONDORES PONIENTE,04:00,0.1
2026-03-20,RENCA,CUMBRE DE CONDORES ORIENTE,000017-08,000017-08,CUMBRE DE CONDORES ORIENTE,20:00,0.3
2026-03-20,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,00:00-06:00,3.4
2026-03-20,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00-06:00,0.14
2026-03-20,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,00:00-06:00,0.6
2026-03-20,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,00:00-06:00,1.05
2026-03-20,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,00:00; 02:00-03:00; 06:00,0.15
2026-03-20,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,23:00,1.5
2026-03-20,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,23:00,0.2
2026-03-20,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,00:00-03:00; 05:00-06:00,64.0
