fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_detectadas,consumo_max_hora
2026-08-05,RENCA,CUMBRE DE CONDORES ORIENTE,000017-08,000017-08,CUMBRE DE CONDORES ORIENTE,00:00-06:00,1.6
2026-08-05,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,01:00-06:00,0.07
2026-08-05,CORMUP,LUIS ARRIETA CAÑAS,000008-06,000008-06,LUIS ARRIETA CAÑAS,01:00-04:00,2.6
2026-08-05,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,01:00-06:00,0.18
2026-08-05,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,01:00-06:00,1.19
2026-08-05,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,01:00-04:00,0.1
2026-08-05,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,00:00-06:00,0.5
2026-08-05,PROVIDENCIA,CARMELA CARVAJAL,000006-02,000006-02,CARMELA CARVAJAL,00:00-05:00,0.2
2026-08-05,PROVIDENCIA,LICEO N°7,000006-04,000006-04,LICEO N°7,00:00-01:00,4.2
2026-08-05,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,00:00-06:00,46.62
