cliente;punto;node_id;habilitacion_hoy;ventana_corte;estado_actual;cumple;max_corte_m3h;tiempo_cerrado;retraso_corte;observacion;hist_mediana;hist_actual;hist_alerta
AGUNSA;Módulo D;000020-02;00:01-24:00 ALTA;Sin corte (habilitado 24 h);Habilitado;SI;0.490;Abierto (hay caudal);No cerró (caudal en toda la ventana de corte);Cumple corte (caudal ~0);;;
CDUC;Club House CDUC;000021-01;"06:00-14:00 BAJA; 14:00-23:00 ALTA";"00:00-06:00; 23:00-24:00";Habilitado;SI;0.000;"Cerrado 7 h (ayer 23:00–hoy 06:00); ahora habilitado";Cerró a las 23:00 (sin retraso);Cumple corte (caudal ~0);;;
CDUC;Raimundo Tupper;000021-03;"06:00-24:00 BAJA; 06:00-24:00 ALTA";00:00-06:00;Habilitado, caudal ~0 (posible válvula cerrada);SI;0.000;"Cerrado 6 h (00:00–06:00); ahora habilitado";Cerró a las 00:00 (sin retraso);Cumple corte (caudal ~0);;;
CORMUP;Antonio Hermida Fabres;000008-01;"14:30-23:00 BAJA; 06:30-14:30 ALTA";"00:00-06:00; 23:00-24:00";Habilitado;NO;1.200;Abierto (hay caudal);No cerró (caudal en toda la ventana de corte);Consumo en ventana de corte: 01:00-06:00;;;
CORMUP;CE Valle Hermoso;000008-11;"07:00-12:00 BAJA; 12:00-20:00 ALTA";"00:00-07:00; 20:00-24:00";Habilitado;SI;4.010;"Cerrado 10 h (ayer 21:00–hoy 07:00); ahora habilitado";"1 h (cerró 21:00; programado 20:00)";"Cumple corte, con retraso de cierre. 1 h (cerró 21:00; programado 20:00)";;;
CORMUP;Carlos Fernández Peña;000008-03;"07:00-13:00 BAJA; 13:00-19:30 ALTA";"00:00-07:00; 20:00-24:00";Habilitado;NO;0.200;Abierto (hay caudal);"2 h (cerró 21:00; programado 19:00)";"Consumo en ventana de corte: 00:00-07:00; 22:00-24:00";;;
CORMUP;Erasmo Escala;000008-07;"14:00-22:00 BAJA; 04:50-14:00 ALTA";"00:00-05:00; 22:00-24:00";Habilitado;NO;1.350;"Cerrado 2 h (03:00–05:00); ahora habilitado";"5 h (cerró 03:00; programado 22:00)";Consumo en ventana de corte: 00:00-03:00;;;
CORMUP;Juan Bautista Pastene;000008-09;"07:00-12:00 BAJA; 12:00-23:00 ALTA";"00:00-07:00; 23:00-24:00";Habilitado;SI;0.200;"Cerrado 7 h (00:00–07:00); ahora habilitado";"1 h (cerró 00:00; programado 23:00)";"Cumple corte, con retraso de cierre. 1 h (cerró 00:00; programado 23:00)";;;
CORMUP;Juan Pablo II;000008-14;"07:00-12:00 BAJA; 12:00-21:00 ALTA";"00:00-07:00; 21:00-24:00";Habilitado;SI;0.010;"Cerrado 11 h (ayer 20:00–hoy 07:00); ahora habilitado";"1 h (cerró 20:00; programado 19:00)";"Cumple corte, con retraso de cierre. 1 h (cerró 20:00; programado 19:00)";;;
CORMUP;Luis Arrieta Cañas;000008-06;"14:00-22:00 BAJA; 04:50-14:00 ALTA";"00:00-05:00; 22:00-24:00";Habilitado;SI;0.500;"Cerrado 6 h (ayer 23:00–hoy 05:00); ahora habilitado";"1 h (cerró 23:00; programado 22:00)";"Cumple corte, con retraso de cierre. 1 h (cerró 23:00; programado 22:00)";;;
CORMUP;Matilde Huici Navas;000008-10;"07:00-12:00 BAJA; 12:00-20:00 ALTA";"00:00-07:00; 20:00-24:00";Habilitado;NO;0.200;"Cerrado 5 h (02:00–07:00); ahora habilitado";"2 h (cerró 22:00; programado 20:00)";"Consumo en ventana de corte: 00:00-02:00; 23:00-24:00";;;
CORMUP;Santa María;000008-05;"07:00-22:00 BAJA; 07:00-22:00 ALTA";"00:00-07:00; 22:00-24:00";Habilitado;SI;0.780;"Cerrado 8 h (ayer 23:00–hoy 07:00); ahora habilitado";"1 h (cerró 23:00; programado 22:00)";"Cumple corte, con retraso de cierre. 1 h (cerró 23:00; programado 22:00)";;;
CORMUP;Tobalaba;000008-04;"06:00-12:30 BAJA; 12:30-23:30 ALTA";00:00-06:00;Habilitado;SI;2.100;"Cerrado 5 h (01:00–06:00); ahora habilitado";"2 h (cerró 01:00; programado 23:00)";"Cumple corte, con retraso de cierre. 2 h (cerró 01:00; programado 23:00)";;;
CORMUP;Unión Nacional Árabe;000008-12;"07:00-18:30 BAJA; 07:00-20:00 ALTA";"00:00-07:00; 20:00-24:00";Habilitado;SI;2.890;"Cerrado 10 h (ayer 21:00–hoy 07:00); ahora habilitado";"1 h (cerró 21:00; programado 20:00)";"Cumple corte, con retraso de cierre. 1 h (cerró 21:00; programado 20:00)";;;
DERCO;Quilicura Matriz Principal;000012-06;"Día habilitado; noche 23:00-24:00 mín. ALTA; 00:01-04:30 mín. ALTA";"Sin corte; mín. guardias 00:00-05:00; 23:00-24:00";Habilitado;SI;4.670;Abierto (hay caudal);—;"Mín. nocturno actual 0.38 m³/h vs histórico 0.40 (umbral +25 % = 0.50); Dentro del histórico +25 %";0.400;0.380;NO
LA FLORIDA;Liceo Alto Cordillera;000028-01;Sin habilitación (corte 24 h);00:00-24:00;Sin programación en planilla;SI;0.000;13 h (desde 00:00 hoy);—;"La planilla no trae tramos de habilitación para este punto; no se evalúa corte.";;;
LA REINA;Eugenio María de Hostos;000024-01;06:00-23:00 ALTA;"00:00-06:00; 23:00-24:00";Habilitado;SI;1.000;"Cerrado 5 h (01:00–06:00); ahora habilitado";"2 h (cerró 01:00; programado 23:00)";"Cumple corte, con retraso de cierre. 2 h (cerró 01:00; programado 23:00)";;;
LAS CONDES;Alexander Fleming;000022-00;"06:00-20:00 BAJA; 20:00-24:00 ALTA; 00:01-06:00 ALTA";Sin corte (habilitado 24 h);Habilitado;SI;0.000;Abierto (hay caudal);—;Habilitado 24 h (no aplica corte);;;
LO VALLEDOR;Lo Valledor P1;000002-01;"07:00-23:00 BAJA; 07:00-23:00 ALTA";"00:00-07:00; 23:00-24:00";Habilitado;NO;7.540;Abierto (hay caudal);No cerró (caudal en toda la ventana de corte);Consumo en ventana de corte: 01:00-07:00;;;
PARQUE ARAUCO;Estanque Norte Locales;000025-01;05:00-24:00 ALTA;00:00-05:00;Habilitado, caudal ~0 (posible válvula cerrada);SI;0.000;"Cerrado 5 h (00:00–05:00); ahora habilitado";Cerró a las 00:00 (sin retraso);Cumple corte (caudal ~0);;;
PARQUE ARAUCO;Pizza Hut;000025-07;06:00-24:00 ALTA;00:00-06:00;Habilitado;SI;0.040;"Cerrado 6 h (00:00–06:00); ahora habilitado";"1 h (cerró 01:00; programado 00:00)";"Cumple corte, con retraso de cierre. 1 h (cerró 01:00; programado 00:00)";;;
PARQUE ARAUCO;Sala de Bomba Estanque Sur;000025-19;00:01-24:00 ALTA;Sin corte (habilitado 24 h);Habilitado;SI;0.000;Abierto (hay caudal);—;Habilitado 24 h (no aplica corte);;;
PARQUE ARAUCO;San Ignacio 500;000025-18;07:00-23:30 ALTA;00:00-07:00;Habilitado;SI;1.760;"Cerrado 6 h (01:00–07:00); ahora habilitado";"2 h (cerró 01:00; programado 23:00)";"Cumple corte, con retraso de cierre. 2 h (cerró 01:00; programado 23:00)";;;
PROVIDENCIA;Carmela Carvajal;000006-02;"07:00-13:00 BAJA; 15:00-21:00 BAJA; 05:00-15:00 ALTA";"00:00-05:00; 21:00-24:00";Habilitado, caudal ~0 (posible válvula cerrada);NO;0.200;"Cerrado 1 h (04:00–05:00); ahora habilitado";"7 h (cerró 04:00; programado 21:00)";"Consumo en ventana de corte: 00:00-04:00; 23:00-24:00";;;
PROVIDENCIA;Liceo 7 Luisa Saavedra;000006-04;"07:00-13:00 BAJA; 13:00-21:00 ALTA";"00:00-07:00; 21:00-24:00";Habilitado;SI;0.000;"Cerrado 10 h (ayer 21:00–hoy 07:00); ahora habilitado";Cerró a las 21:00 (sin retraso);Cumple corte (caudal ~0);;;
PROVIDENCIA;Liceo Juan Pablo Duarte;000006-05;Sin habilitación (corte 24 h);00:00-24:00;Sin programación en planilla;SI;0.000;Abierto (hay caudal);—;"La planilla no trae tramos de habilitación para este punto; no se evalúa corte.";;;
PROVIDENCIA;Liceo Lastarria;000006-01;"07:00-08:00 BAJA; 08:00-13:00 BAJA; 18:00-23:00 BAJA; 08:00-13:00 ALTA; 14:00-18:00 ALTA; 21:00-23:00 ALTA";"00:00-07:00; 13:00-14:00; 23:00-24:00";Habilitado;NO;0.400;Abierto (hay caudal);No cerró (caudal en toda la ventana de corte);"Consumo en ventana de corte: 00:00-07:00; 23:00-24:00";;;
RENCA;Colegio ICCO Renca;000017-08;06:00-20:00 ALTA;"00:00-06:00; 20:00-24:00";Habilitado;SI;1.600;"Cerrado 8 h (ayer 22:00–hoy 06:00); ahora habilitado";"2 h (cerró 22:00; programado 20:00)";"Cumple corte, con retraso de cierre. 2 h (cerró 22:00; programado 20:00)";;;
RENCA;Escuela Lo Velázquez;000017-04;"06:00-15:30 BAJA; 17:00-20:00 BAJA; 08:30-17:00 ALTA";"00:00-06:00; 20:00-24:00";Habilitado;SI;0.010;"Cerrado 10 h (ayer 20:00–hoy 06:00); ahora habilitado";Cerró a las 20:00 (sin retraso);Cumple corte (caudal ~0);;;
