fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_detectadas,consumo_max_hora
2026-04-02,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,00:00-06:00,3.91
2026-04-02,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,00:00-06:00,1.3
2026-04-02,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,01:00-05:00,4.9
2026-04-02,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00-05:00,0.35
2026-04-02,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,00:00-03:00,0.33
2026-04-02,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,00:00-06:00,0.1
2026-04-02,PROVIDENCIA,CARMELA CARVAJAL,000006-02,000006-02,CARMELA CARVAJAL,00:00,0.1
2026-04-02,PROVIDENCIA,LICEO N°7,000006-04,000006-04,LICEO N°7,00:00-06:00,0.2
2026-04-02,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,00:00-06:00,0.04
2026-04-02,DERCO,Quilicura Matriz Principal,000012-06,000012-06,Quilicura Matriz Principal,00:00,6.19
