"fecha_creacion","tamano_kb","carpeta","archivo","ruta_relativa","ruta_completa"
"2026-06-22 12:17","30,5","reports","listado_archivos_drive_desde_15062026_20260622_1217.xlsx","reports\listado_archivos_drive_desde_15062026_20260622_1217.xlsx","G:\Mi unidad\Agente WES\wes-scripts\reports\listado_archivos_drive_desde_15062026_20260622_1217.xlsx"
"2026-06-22 12:17","163,5","reports","listado_archivos_drive_desde_15062026_20260622_1217.csv","reports\listado_archivos_drive_desde_15062026_20260622_1217.csv","G:\Mi unidad\Agente WES\wes-scripts\reports\listado_archivos_drive_desde_15062026_20260622_1217.csv"
"2026-06-19 11:17","298,9","reports\control_nocturno","control_nocturno_20260619_20260619_20260619_1117.pdf","reports\control_nocturno\control_nocturno_20260619_20260619_20260619_1117.pdf","G:\Mi unidad\Agente WES\wes-scripts\reports\control_nocturno\control_nocturno_20260619_20260619_20260619_1117.pdf"
"2026-06-19 11:17","90,6","reports\control_nocturno","control_nocturno_20260619_20260619_20260619_1117.docx","reports\control_nocturno\control_nocturno_20260619_20260619_20260619_1117.docx","G:\Mi unidad\Agente WES\wes-scripts\reports\control_nocturno\control_nocturno_20260619_20260619_20260619_1117.docx"
"2026-06-19 11:17","56,5","reports\control_nocturno","control_nocturno_20260619_20260619_20260619_1117_anillo.png","reports\control_nocturno\control_nocturno_20260619_20260619_20260619_1117_anillo.png","G:\Mi unidad\Agente WES\wes-scripts\reports\control_nocturno\control_nocturno_20260619_20260619_20260619_1117_anillo.png"
"2026-06-19 11:17","0,6","reports\control_nocturno","control_nocturno_20260619_20260619_20260619_1117.csv","reports\control_nocturno\control_nocturno_20260619_20260619_20260619_1117.csv","G:\Mi unidad\Agente WES\wes-scripts\reports\control_nocturno\control_nocturno_20260619_20260619_20260619_1117.csv"
"2026-06-19 11:17","95","reporte en cero","Reporte_Puntos_En_Cero_20260619_151724.docx","reporte en cero\Reporte_Puntos_En_Cero_20260619_151724.docx","G:\Mi unidad\Agente WES\wes-scripts\reporte en cero\Reporte_Puntos_En_Cero_20260619_151724.docx"
"2026-06-18 07:50","298","reporte en cero","Reporte_Puntos_En_Cero_20260618_114525.pdf","reporte en cero\Reporte_Puntos_En_Cero_20260618_114525.pdf","G:\Mi unidad\Agente WES\wes-scripts\reporte en cero\Reporte_Puntos_En_Cero_20260618_114525.pdf"
"2026-06-18 07:45","94,8","reporte en cero","Reporte_Puntos_En_Cero_20260618_114525.docx","reporte en cero\Reporte_Puntos_En_Cero_20260618_114525.docx","G:\Mi unidad\Agente WES\wes-scripts\reporte en cero\Reporte_Puntos_En_Cero_20260618_114525.docx"
"2026-06-16 14:02","103,6","reports\proyeccion ahorre puente 2025\muestra_semanal","Informe_Breve_Ahorro_WES_Puente_Alto_20260616_1402.docx","reports\proyeccion ahorre puente 2025\muestra_semanal\Informe_Breve_Ahorro_WES_Puente_Alto_20260616_1402.docx","G:\Mi unidad\Agente WES\wes-scripts\reports\proyeccion ahorre puente 2025\muestra_semanal\Informe_Breve_Ahorro_WES_Puente_Alto_20260616_1402.docx"
"2026-06-16 14:02","32,2","reports\proyeccion ahorre puente 2025\muestra_semanal","informe_breve_proy_jun_20260616_1402.png","reports\proyeccion ahorre puente 2025\muestra_semanal\informe_breve_proy_jun_20260616_1402.png","G:\Mi unidad\Agente WES\wes-scripts\reports\proyeccion ahorre puente 2025\muestra_semanal\informe_breve_proy_jun_20260616_1402.png"
"2026-06-16 14:02","42,4","reports\proyeccion ahorre puente 2025\muestra_semanal","informe_breve_barras_20260616_1402.png","reports\proyeccion ahorre puente 2025\muestra_semanal\informe_breve_barras_20260616_1402.png","G:\Mi unidad\Agente WES\wes-scripts\reports\proyeccion ahorre puente 2025\muestra_semanal\informe_breve_barras_20260616_1402.png"
"2026-06-16 14:01","11,4","G:\Mi unidad\Agente WES\wes-scripts","informe_breve_ahorro_wes_puente_alto.py","informe_breve_ahorro_wes_puente_alto.py","G:\Mi unidad\Agente WES\wes-scripts\informe_breve_ahorro_wes_puente_alto.py"
"2026-06-16 12:07","6,4","reports\proyeccion ahorre puente 2025\muestra_semanal","Plan_Regulacion_Agua_Nocturno_Puente_Alto_20260616_1207.xlsx","reports\proyeccion ahorre puente 2025\muestra_semanal\Plan_Regulacion_Agua_Nocturno_Puente_Alto_20260616_1207.xlsx","G:\Mi unidad\Agente WES\wes-scripts\reports\proyeccion ahorre puente 2025\muestra_semanal\Plan_Regulacion_Agua_Nocturno_Puente_Alto_20260616_1207.xlsx"
"2026-06-16 12:07","38,6","reports\proyeccion ahorre puente 2025\muestra_semanal","Plan_Regulacion_Agua_Nocturno_Puente_Alto_20260616_1207.docx","reports\proyeccion ahorre puente 2025\muestra_semanal\Plan_Regulacion_Agua_Nocturno_Puente_Alto_20260616_1207.docx","G:\Mi unidad\Agente WES\wes-scripts\reports\proyeccion ahorre puente 2025\muestra_semanal\Plan_Regulacion_Agua_Nocturno_Puente_Alto_20260616_1207.docx"
"2026-06-16 12:07","14,2","G:\Mi unidad\Agente WES\wes-scripts","plan_regulacion_nocturno_puente_alto.py","plan_regulacion_nocturno_puente_alto.py","G:\Mi unidad\Agente WES\wes-scripts\plan_regulacion_nocturno_puente_alto.py"
"2026-06-16 12:06","0,7","reports\proyeccion ahorre puente 2025\muestra_semanal","analisis_nocturno_tmp.csv","reports\proyeccion ahorre puente 2025\muestra_semanal\analisis_nocturno_tmp.csv","G:\Mi unidad\Agente WES\wes-scripts\reports\proyeccion ahorre puente 2025\muestra_semanal\analisis_nocturno_tmp.csv"
"2026-06-16 11:59","52,1","reports\proyeccion ahorre puente 2025\muestra_semanal","grafico_resumen_agregado_20260616_1159.png","reports\proyeccion ahorre puente 2025\muestra_semanal\grafico_resumen_agregado_20260616_1159.png","G:\Mi unidad\Agente WES\wes-scripts\reports\proyeccion ahorre puente 2025\muestra_semanal\grafico_resumen_agregado_20260616_1159.png"
"2026-06-16 11:59","83,1","reports\proyeccion ahorre puente 2025\muestra_semanal","grafico_con_vs_sin_wes_mayo_20260525_20260616_1159.png","reports\proyeccion ahorre puente 2025\muestra_semanal\grafico_con_vs_sin_wes_mayo_20260525_20260616_1159.png","G:\Mi unidad\Agente WES\wes-scripts\reports\proyeccion ahorre puente 2025\muestra_semanal\grafico_con_vs_sin_wes_mayo_20260525_20260616_1159.png"
"2026-06-16 11:59","7,7","reports\proyeccion ahorre puente 2025\muestra_semanal","muestra_con_sin_wes_pa_20260525_20260615_20260616_1159.xlsx","reports\proyeccion ahorre puente 2025\muestra_semanal\muestra_con_sin_wes_pa_20260525_20260615_20260616_1159.xlsx","G:\Mi unidad\Agente WES\wes-scripts\reports\proyeccion ahorre puente 2025\muestra_semanal\muestra_con_sin_wes_pa_20260525_20260615_20260616_1159.xlsx"
