node_id,colegio,pct_eficiencia_auditoria,pct_eficiencia_fuente,factor_sin_WES_vs_medicion,pct_eficiencia_kpi_app,2026-04,2026-04_sin_WES_est_m3,2026-04_dias_con_dato,2026-04_metodo,total_anio_m3,total_anio_sin_WES_est_m3
000010-04,Colegio Maipo,29.2683,informe_csv,1.292683,0.0,601.5,777.5488,28,rango_mensual,601.5,777.5488
000010-10,Consolidada,14.486,informe_csv,1.14486,0.0,739.4,846.5095,28,rango_mensual,739.4,846.5095
000010-06,Esc. Gabriela,21.1765,informe_csv,1.211765,0.0,119.8,145.1694,26,rango_mensual,119.8,145.1694
000010-07,Esc. Juan Mackenna,8.5714,informe_csv,1.085714,0.0,384.29,417.229,28,rango_mensual,384.29,417.229
000010-09,Esc. Los Andes,21.7391,informe_csv,1.217391,0.0,151.2,184.0695,23,rango_mensual,151.2,184.0695
000010-05,Esc. Luis Matte Larraín,18.4211,informe_csv,1.184211,0.0,669.64,792.9951,28,rango_mensual,669.64,792.9951
000010-11,Esc. Nonato Coo,2.439,informe_csv,1.02439,0.0,295.85,303.0658,28,rango_mensual,295.85,303.0658
000010-03,Esc. Padre Hurtado,33.3333,informe_csv,1.333333,0.0,487.1,649.4665,28,rango_mensual,487.1,649.4665
000010-02,Esc. Villa Independencia,31.1321,informe_csv,1.311321,0.0,106.41,139.5377,28,rango_mensual,106.41,139.5377
000010-01,Escuela Andes del SUR,9.589,informe_csv,1.09589,0.0,904.91,991.6818,28,rango_mensual,904.91,991.6818
TOTAL,SUMATORIA,,,,,4460.1,5247.2731,,,4460.1,5247.2731
