node_id,colegio,pct_eficiencia_auditoria,pct_eficiencia_fuente,factor_sin_WES_vs_medicion,pct_eficiencia_kpi_app,2025-01,2025-01_sin_WES_est_m3,2025-01_dias_con_dato,2025-01_metodo,2025-02,2025-02_sin_WES_est_m3,2025-02_dias_con_dato,2025-02_metodo,2025-03,2025-03_sin_WES_est_m3,2025-03_dias_con_dato,2025-03_metodo,2025-04,2025-04_sin_WES_est_m3,2025-04_dias_con_dato,2025-04_metodo,2025-05,2025-05_sin_WES_est_m3,2025-05_dias_con_dato,2025-05_metodo,2025-06,2025-06_sin_WES_est_m3,2025-06_dias_con_dato,2025-06_metodo,2025-07,2025-07_sin_WES_est_m3,2025-07_dias_con_dato,2025-07_metodo,2025-08,2025-08_sin_WES_est_m3,2025-08_dias_con_dato,2025-08_metodo,2025-09,2025-09_sin_WES_est_m3,2025-09_dias_con_dato,2025-09_metodo,2025-10,2025-10_sin_WES_est_m3,2025-10_dias_con_dato,2025-10_metodo,2025-11,2025-11_sin_WES_est_m3,2025-11_dias_con_dato,2025-11_metodo,2025-12,2025-12_sin_WES_est_m3,2025-12_dias_con_dato,2025-12_metodo,total_anio_m3,total_anio_sin_WES_est_m3
000010-04,Colegio Maipo,29.26829268292683,proyeccion_xlsx,1.292683,0.0,340.13,439.6802,30,csv_local_guardado,337.18,435.8668,27,csv_local_guardado,780.68,1009.1717,30,csv_local_guardado,849.93,1098.69,29,csv_local_guardado,584.3,755.3146,30,csv_local_guardado,516.39,667.5285,29,csv_local_guardado,1107.36,1431.4654,29,csv_local_guardado,542.51,701.2934,30,csv_local_guardado,508.32,657.0966,29,csv_local_guardado,610.14,788.7176,30,csv_local_guardado,390.23,504.4437,26,csv_local_guardado,108.18,139.8424,10,csv_local_guardado,6675.35,8629.1109
000010-10,Consolidada,14.48598130841121,proyeccion_xlsx,1.14486,0.0,1066.7,1221.222,23,csv_local_guardado,1163.8,1332.3879,26,csv_local_guardado,1658.9,1899.2079,25,csv_local_guardado,1427.6,1634.4019,29,csv_local_guardado,818.6,937.1822,30,csv_local_guardado,537.8,615.7056,27,csv_local_guardado,1235.31,1414.2568,30,csv_local_guardado,1139.8,1304.9112,30,csv_local_guardado,374.4,428.6355,16,csv_local_guardado,720.1,824.4136,30,csv_local_guardado,816.8,935.1215,29,csv_local_guardado,539.2,617.3084,30,csv_local_guardado,11499.01,13164.7545
000010-06,Esc. Gabriela,21.17647058823529,proyeccion_xlsx,1.211765,0.0,567.3,687.4341,28,csv_local_guardado,1034.3,1253.3282,15,csv_local_guardado,319.1,386.6741,20,csv_local_guardado,204.8,248.1694,15,csv_local_guardado,205.3,248.7753,5,csv_local_guardado,20.1,24.3565,2,csv_local_guardado,30.8,37.3224,2,csv_local_guardado,367.8,445.6871,26,csv_local_guardado,411.2,498.2776,25,csv_local_guardado,869.6,1053.7506,29,csv_local_guardado,475.8,576.5576,12,csv_local_guardado,0.0,0.0,0,csv_local_vacio,4506.1,5460.3329
000010-07,Esc. Juan Mackenna,8.571428571428571,proyeccion_xlsx,1.085714,0.0,374.75,406.8714,30,csv_local_guardado,336.62,365.4731,27,csv_local_guardado,812.05,881.6543,30,csv_local_guardado,588.53,638.9754,29,csv_local_guardado,448.18,486.5954,30,csv_local_guardado,358.07,388.7617,29,csv_local_guardado,468.94,509.1349,30,csv_local_guardado,502.82,545.9189,29,csv_local_guardado,430.3,467.1829,29,csv_local_guardado,247.63,268.8554,18,csv_local_guardado,537.17,583.2131,29,csv_local_guardado,347.96,377.7851,30,csv_local_guardado,5453.02,5920.4216
000010-09,Esc. Los Andes,21.73913043478261,proyeccion_xlsx,1.217391,0.0,85.7,104.3304,30,csv_local_guardado,139.8,170.1913,27,csv_local_guardado,367.9,447.8783,30,csv_local_guardado,371.6,452.3826,29,csv_local_guardado,319.4,388.8348,30,csv_local_guardado,346.3,421.5826,29,csv_local_guardado,699.6,851.687,30,csv_local_guardado,459.7,559.6348,30,csv_local_guardado,302.1,367.7739,29,csv_local_guardado,293.9,357.7913,30,csv_local_guardado,466.7,568.1565,29,csv_local_guardado,406.9,495.3565,30,csv_local_guardado,4259.6,5185.6
000010-05,Esc. Luis Matte Larraín,18.42105263157895,proyeccion_xlsx,1.184211,0.0,2692.53,3188.5224,27,csv_local_guardado,418.29,495.3434,4,csv_local_guardado,166.55,197.2303,15,csv_local_guardado,0.0,0.0,0,csv_local_guardado,20373.98,24127.0816,23,csv_local_guardado,8746.63,10357.8513,23,csv_local_guardado,20017.8,23705.2895,23,csv_local_guardado,412.97,489.0434,30,csv_local_guardado,431.24,510.6789,29,csv_local_guardado,385.37,456.3592,30,csv_local_guardado,739.24,875.4158,29,csv_local_guardado,492.8,583.5789,30,csv_local_guardado,54877.4,64986.3947
000010-11,Esc. Nonato Coo,2.439024390243902,proyeccion_xlsx,1.02439,0.0,0.0,0.0,0,csv_local_guardado,0.0,0.0,0,csv_local_guardado,289.64,296.7044,21,csv_local_guardado,834.22,854.5668,29,csv_local_guardado,790.93,810.221,28,csv_local_guardado,331.09,339.1654,29,csv_local_guardado,199.8,204.6732,30,csv_local_guardado,183.16,187.6273,25,csv_local_guardado,213.41,218.6151,29,csv_local_guardado,842.27,862.8132,30,csv_local_guardado,255.12,261.3424,12,csv_local_guardado,0.0,0.0,0,csv_local_vacio,3939.64,4035.7288
000010-03,Esc. Padre Hurtado,33.33333333333333,proyeccion_xlsx,1.333333,0.0,1550.9,2067.8667,16,csv_local_guardado,3429.4,4572.5333,7,csv_local_guardado,11069.1,14758.8,24,csv_local_guardado,234.7,312.9333,24,csv_local_guardado,241.9,322.5333,21,csv_local_guardado,432.1,576.1333,16,csv_local_guardado,18220.0,24293.3333,30,csv_local_guardado,357.7,476.9333,30,csv_local_guardado,343.8,458.4,29,csv_local_guardado,380.8,507.7333,30,csv_local_guardado,466.7,622.2667,27,csv_local_guardado,265.3,353.7333,29,csv_local_guardado,36992.4,49323.1998
000010-02,Esc. Villa Independencia,31.13207547169811,proyeccion_xlsx,1.311321,0.0,18.98,24.8889,4,csv_local_guardado,4.3,5.6387,2,csv_local_guardado,348.34,456.7855,13,csv_local_guardado,16.01,20.9942,21,csv_local_guardado,6.82,8.9432,4,csv_local_guardado,1121.49,1470.6331,29,csv_local_guardado,1361.16,1784.9174,27,csv_local_guardado,76.45,100.2505,30,csv_local_guardado,95.14,124.7591,29,csv_local_guardado,130.86,171.5994,28,csv_local_guardado,84.52,110.8328,29,csv_local_guardado,51.56,67.6117,30,csv_local_guardado,3315.63,4347.8545
000010-01,Escuela Andes del SUR,9.58904109589041,proyeccion_xlsx,1.09589,0.0,162.3,177.863,15,csv_local_guardado,293.6,321.7534,27,csv_local_guardado,660.9,724.274,30,csv_local_guardado,602.8,660.6027,29,csv_local_guardado,813.8,891.8356,30,csv_local_guardado,1036.3,1135.6712,29,csv_local_guardado,1719.71,1884.6137,30,csv_local_guardado,1604.4,1758.2466,30,csv_local_guardado,580.6,636.274,14,csv_local_guardado,739.9,810.8493,25,csv_local_guardado,1036.3,1135.6712,29,csv_local_guardado,301.4,330.3014,8,csv_local_guardado,9552.01,10467.9561
