node_id,colegio,pct_eficiencia_auditoria,pct_eficiencia_fuente,factor_sin_WES_vs_medicion,pct_eficiencia_kpi_app,2025-01,2025-01_sin_WES_est_m3,2025-01_dias_con_dato,2025-01_metodo,2025-02,2025-02_sin_WES_est_m3,2025-02_dias_con_dato,2025-02_metodo,2025-03,2025-03_sin_WES_est_m3,2025-03_dias_con_dato,2025-03_metodo,2025-04,2025-04_sin_WES_est_m3,2025-04_dias_con_dato,2025-04_metodo,2025-05,2025-05_sin_WES_est_m3,2025-05_dias_con_dato,2025-05_metodo,2025-06,2025-06_sin_WES_est_m3,2025-06_dias_con_dato,2025-06_metodo,2025-07,2025-07_sin_WES_est_m3,2025-07_dias_con_dato,2025-07_metodo,2025-08,2025-08_sin_WES_est_m3,2025-08_dias_con_dato,2025-08_metodo,2025-09,2025-09_sin_WES_est_m3,2025-09_dias_con_dato,2025-09_metodo,2025-10,2025-10_sin_WES_est_m3,2025-10_dias_con_dato,2025-10_metodo,2025-11,2025-11_sin_WES_est_m3,2025-11_dias_con_dato,2025-11_metodo,2025-12,2025-12_sin_WES_est_m3,2025-12_dias_con_dato,2025-12_metodo,total_anio_m3,total_anio_sin_WES_est_m3
000010-04,Colegio Maipo,29.2683,informe_csv,1.292683,0.0,340.13,439.6803,30.0,csv_local_guardado,374.6444,484.2966,30.0,csv_local_guardado,780.68,1009.1718,30.0,csv_local_guardado,879.2379,1136.576,30.0,csv_local_guardado,584.3,755.3147,30.0,csv_local_guardado,534.1966,690.5468,30.0,csv_local_guardado,1145.5448,1480.8263,30.0,csv_local_guardado,542.51,701.2935,30.0,csv_local_guardado,525.8483,679.7551,30.0,csv_local_guardado,610.14,788.7176,30.0,csv_local_guardado,450.2654,582.0504,30.0,csv_local_guardado,324.54,419.5272,30.0,csv_local_guardado,7092.0374,9167.7563
000010-10,Consolidada,14.486,informe_csv,1.14486,0.0,1391.3478,1592.8985,30.0,csv_local_guardado,1342.8462,1537.3709,30.0,csv_local_guardado,1990.68,2279.05,30.0,csv_local_guardado,1476.8276,1690.7608,30.0,csv_local_guardado,818.6,937.1824,30.0,csv_local_guardado,597.5556,684.1174,30.0,csv_local_guardado,1235.31,1414.257,30.0,csv_local_guardado,1139.8,1304.9114,30.0,csv_local_guardado,702.0,803.6918,30.0,csv_local_guardado,720.1,824.4137,30.0,csv_local_guardado,844.9655,967.3672,30.0,csv_local_guardado,539.2,617.3085,30.0,csv_local_guardado,12799.2327,14653.3296
000010-06,Esc. Gabriela,21.1765,informe_csv,1.211765,0.0,607.8214,736.5368,30.0,csv_local_guardado,2068.6,2506.657,30.0,csv_local_guardado,478.65,580.0113,30.0,csv_local_guardado,409.6,496.339,30.0,csv_local_guardado,1231.8,1492.6524,30.0,csv_local_guardado,301.5,365.3475,30.0,csv_local_guardado,462.0,559.836,30.0,csv_local_guardado,424.3846,514.2545,30.0,csv_local_guardado,493.44,597.9334,30.0,csv_local_guardado,899.5862,1090.087,30.0,csv_local_guardado,1189.5,1441.3945,30.0,csv_local_guardado,0.0,0.0,0.0,csv_local_vacio,8566.8822,10381.0494
000010-07,Esc. Juan Mackenna,8.5714,informe_csv,1.085714,0.0,374.75,406.8713,30.0,csv_local_guardado,374.0222,406.0811,30.0,csv_local_guardado,812.05,881.6541,30.0,csv_local_guardado,608.8241,661.0089,30.0,csv_local_guardado,448.18,486.5953,30.0,csv_local_guardado,370.4172,402.1672,30.0,csv_local_guardado,468.94,509.1347,30.0,csv_local_guardado,520.1586,564.7435,30.0,csv_local_guardado,445.1379,483.2924,30.0,csv_local_guardado,412.7167,448.0923,30.0,csv_local_guardado,555.6931,603.3238,30.0,csv_local_guardado,347.96,377.785,30.0,csv_local_guardado,5738.8498,6230.7496
000010-09,Esc. Los Andes,21.7391,informe_csv,1.217391,0.0,85.7,104.3304,30.0,csv_local_guardado,155.3333,189.1014,30.0,csv_local_guardado,367.9,447.8781,30.0,csv_local_guardado,384.4138,467.9819,30.0,csv_local_guardado,319.4,388.8347,30.0,csv_local_guardado,358.2414,436.1198,30.0,csv_local_guardado,699.6,851.6867,30.0,csv_local_guardado,459.7,559.6346,30.0,csv_local_guardado,312.5172,380.4557,30.0,csv_local_guardado,293.9,357.7912,30.0,csv_local_guardado,482.7931,587.748,30.0,csv_local_guardado,406.9,495.3564,30.0,csv_local_guardado,4326.3988,5266.9189
000010-05,Esc. Luis Matte Larraín,18.4211,informe_csv,1.184211,0.0,2991.7,3542.804,30.0,csv_local_guardado,3137.175,3715.077,30.0,csv_local_guardado,333.1,394.4606,30.0,csv_local_guardado,0.0,0.0,0.0,csv_local_guardado,26574.7565,31470.119,30.0,csv_local_guardado,11408.6478,13510.2463,30.0,csv_local_guardado,26110.1739,30919.9552,30.0,csv_local_guardado,412.97,489.0436,30.0,csv_local_guardado,446.1103,528.2888,30.0,csv_local_guardado,385.37,456.3594,30.0,csv_local_guardado,764.731,905.6029,30.0,csv_local_guardado,492.8,583.5792,30.0,csv_local_guardado,73057.5345,86515.536
000010-11,Esc. Nonato Coo,2.439,informe_csv,1.02439,0.0,0.0,0.0,0.0,csv_local_guardado,0.0,0.0,0.0,csv_local_guardado,413.7714,423.8633,30.0,csv_local_guardado,862.9862,884.0344,30.0,csv_local_guardado,847.425,868.0937,30.0,csv_local_guardado,342.5069,350.8607,30.0,csv_local_guardado,199.8,204.6731,30.0,csv_local_guardado,219.792,225.1528,30.0,csv_local_guardado,220.769,226.1536,30.0,csv_local_guardado,842.27,862.813,30.0,csv_local_guardado,637.8,653.356,30.0,csv_local_guardado,0.0,0.0,0.0,csv_local_vacio,4587.1205,4699.0006
000010-03,Esc. Padre Hurtado,33.3333,informe_csv,1.333333,0.0,2907.9375,3877.2489,30.0,csv_local_guardado,14697.4286,19596.5666,30.0,csv_local_guardado,13836.375,18448.4954,30.0,csv_local_guardado,293.375,391.1666,30.0,csv_local_guardado,345.5714,460.7619,30.0,csv_local_guardado,810.1875,1080.2498,30.0,csv_local_guardado,18220.0,24293.3273,30.0,csv_local_guardado,357.7,476.9332,30.0,csv_local_guardado,355.6552,474.2068,30.0,csv_local_guardado,380.8,507.7332,30.0,csv_local_guardado,518.5556,691.4072,30.0,csv_local_guardado,274.4483,365.9309,30.0,csv_local_guardado,52998.0341,70664.0278
000010-02,Esc. Villa Independencia,31.1321,informe_csv,1.311321,0.0,142.35,186.6668,30.0,csv_local_guardado,64.5,84.5805,30.0,csv_local_guardado,803.8615,1054.1206,30.0,csv_local_guardado,22.8714,29.9917,30.0,csv_local_guardado,51.15,67.074,30.0,csv_local_guardado,1160.1621,1521.3449,30.0,csv_local_guardado,1512.4,1983.2419,30.0,csv_local_guardado,76.45,100.2505,30.0,csv_local_guardado,98.4207,129.0611,30.0,csv_local_guardado,140.2071,183.8566,30.0,csv_local_guardado,87.4345,114.6547,30.0,csv_local_guardado,51.56,67.6117,30.0,csv_local_guardado,4211.3673,5522.455
000010-01,Escuela Andes del SUR,9.589,informe_csv,1.09589,0.0,324.6,355.7258,30.0,csv_local_guardado,326.2222,357.5037,30.0,csv_local_guardado,660.9,724.2737,30.0,csv_local_guardado,623.5862,683.3819,30.0,csv_local_guardado,813.8,891.8353,30.0,csv_local_guardado,1072.0345,1174.8319,30.0,csv_local_guardado,1719.71,1884.613,30.0,csv_local_guardado,1604.4,1758.2459,30.0,csv_local_guardado,1244.1429,1363.4436,30.0,csv_local_guardado,887.88,973.0188,30.0,csv_local_guardado,1072.0345,1174.8319,30.0,csv_local_guardado,1130.25,1238.6295,30.0,csv_local_guardado,11479.5603,12580.335
