TIME,VALUE
2025-10-01,27.90
2025-10-05,9.00
2025-10-06,43.00
2025-10-07,32.90
2025-10-08,33.90
2025-10-10,20.50
2025-10-09,30.30
2025-10-11,6.30
2025-10-12,5.90
2025-10-13,33.70
2025-10-14,32.40
2025-10-15,30.00
2025-10-16,30.40
2025-10-17,31.90
2025-10-18,30.30
2025-10-19,29.60
2025-10-20,36.40
2025-10-21,20.30
2025-10-22,35.70
2025-10-23,20.30
2025-10-24,12.40
2025-10-25,6.10
2025-10-26,6.30
2025-10-27,28.50
2025-10-28,28.30
2025-10-29,22.50
2025-10-30,24.10
2025-10-31,6.20
2025-10-03,29.90
2025-10-04,10.30
2025-10-02,32.70
