colegio,node,noct_rec,pct_noct_rec,dias_con_noct,dias_sin_noct,noct_mayo,delta_noct
Esc. Villa Independencia,000010-02,194.94,28.6,7,0,115.46,487.6
Esc. Los Andes,000010-09,142.68,31.0,6,1,207.72,318.22
Escuela Andes del SUR,000010-01,128.41,31.8,7,0,150.77,275.99
Liceo Chiloé,000010-08,125.15,27.8,7,0,123.39,324.48
Consolidada,000010-10,43.98,18.8,7,0,72.23,189.62
Esc. Juan Mackenna,000010-07,28.98,23.2,7,0,26.44,95.87
Colegio Maipo,000010-04,23.06,19.6,7,0,34.93,94.4
Esc. Luis Matte Larraín,000010-05,20.74,23.6,7,0,28.08,67.24
Esc. Nonato Coo,000010-11,9.45,17.7,6,1,7.17,43.9
Esc. Padre Hurtado,000010-03,4.99,35.4,2,1,27.4,9.11
Esc. Gabriela,000010-06,0.47,5.2,2,1,11.65,8.63
