ranking,node_id,colegio,total_anio_con_WES_m3,total_anio_sin_WES_est_m3,ahorro_anual_m3,pct_eficiencia_auditoria
1,000010-04,Colegio Maipo,601.5,777.5488,176.0488,29.2683
2,000010-08,Liceo Chiloé,1366.57,1540.1025,173.5325,12.6984
3,000010-03,Esc. Padre Hurtado,487.1,649.4665,162.3665,33.3333
4,000010-05,Esc. Luis Matte Larraín,669.64,792.9951,123.3551,18.4211
5,000010-10,Consolidada,739.4,846.5095,107.1095,14.486
6,000010-01,Escuela Andes del SUR,904.91,991.6818,86.7718,9.589
7,000010-02,Esc. Villa Independencia,106.41,139.5377,33.1277,31.1321
8,000010-07,Esc. Juan Mackenna,384.29,417.229,32.939,8.5714
9,000010-09,Esc. Los Andes,151.2,184.0695,32.8695,21.7391
10,000010-06,Esc. Gabriela,119.8,145.1694,25.3694,21.1765
11,000010-11,Esc. Nonato Coo,295.85,303.0658,7.2158,2.439
