metrica,valor
node_id,000017-07
punto,Colegio Cumbre de condores poniente
ventana_horaria_chile,"00:00 a 24:00 (hora inicio inclusive, fin exclusivo)"
total_m3_referencia,48.400000
total_m3_auditoria,51.600000
nota,total_ref = periodo con control; total_aud = periodo sin control
ahorro_m3_referencia_menos_auditoria,-3.200000
rendimiento_ahorro_pct_sobre_referencia,-6.6116

indice,etiqueta,m3_h_referencia,m3_h_auditoria
0,"D1 00:00
13-04-26",0.0,0.0
1,"D1 01:00
13-04-26",0.0,0.0
2,"D1 02:00
13-04-26",0.0,0.0
3,"D1 03:00
13-04-26",0.0,0.0
4,"D1 04:00
13-04-26",0.3,0.0
5,"D1 05:00
13-04-26",0.5,0.868421052631579
6,"D1 06:00
13-04-26",0.8,0.7719298245614036
7,"D1 07:00
13-04-26",0.6,0.7719298245614036
8,"D1 08:00
13-04-26",1.3,1.3508771929824561
9,"D1 09:00
13-04-26",1.2,1.5438596491228072
10,"D1 10:00
13-04-26",2.4,1.8333333333333333
11,"D1 11:00
13-04-26",1.2,1.06140350877193
12,"D1 12:00
13-04-26",1.0,1.2543859649122808
13,"D1 13:00
13-04-26",0.6,0.3859649122807018
14,"D1 14:00
13-04-26",0.1,0.1929824561403509
15,"D1 15:00
13-04-26",0.1,0.09649122807017545
16,"D1 16:00
13-04-26",0.0,0.1929824561403509
17,"D1 17:00
13-04-26",0.0,0.09649122807017545
18,"D1 18:00
13-04-26",0.0,0.09649122807017545
19,"D1 19:00
13-04-26",0.0,0.09649122807017545
20,"D1 20:00
13-04-26",0.0,0.09649122807017545
21,"D1 21:00
13-04-26",0.0,0.09649122807017545
22,"D1 22:00
13-04-26",0.0,0.09649122807017545
23,"D1 23:00
13-04-26",0.0,0.09649122807017545
24,"D2 00:00
14-04-26",0.0,0.1
25,"D2 01:00
14-04-26",0.0,0.0
26,"D2 02:00
14-04-26",0.0,0.1
27,"D2 03:00
14-04-26",0.0,0.1
28,"D2 04:00
14-04-26",0.4,0.3
29,"D2 05:00
14-04-26",0.4,0.8
30,"D2 06:00
14-04-26",0.7,0.8
31,"D2 07:00
14-04-26",0.4,0.8
32,"D2 08:00
14-04-26",1.5,1.8
33,"D2 09:00
14-04-26",1.2,1.4
34,"D2 10:00
14-04-26",1.7,2.0
35,"D2 11:00
14-04-26",0.9,0.8
36,"D2 12:00
14-04-26",0.8,1.3
37,"D2 13:00
14-04-26",0.5,0.5
38,"D2 14:00
14-04-26",0.1,0.1
39,"D2 15:00
14-04-26",0.0,0.1
40,"D2 16:00
14-04-26",0.0,0.1
41,"D2 17:00
14-04-26",0.0,0.0
42,"D2 18:00
14-04-26",0.0,0.1
43,"D2 19:00
14-04-26",0.0,0.1
44,"D2 20:00
14-04-26",0.0,0.1
45,"D2 21:00
14-04-26",0.0,0.0
46,"D2 22:00
14-04-26",0.0,0.1
47,"D2 23:00
14-04-26",0.0,0.1
48,"D3 00:00
15-04-26",0.0,0.0
49,"D3 01:00
15-04-26",0.0,0.1
50,"D3 02:00
15-04-26",0.0,0.1
51,"D3 03:00
15-04-26",0.0,0.0
52,"D3 04:00
15-04-26",0.3,0.3
53,"D3 05:00
15-04-26",0.7,0.4
54,"D3 06:00
15-04-26",0.9,0.7
55,"D3 07:00
15-04-26",0.9,0.8
56,"D3 08:00
15-04-26",1.7,1.4
57,"D3 09:00
15-04-26",1.0,1.5
58,"D3 10:00
15-04-26",1.5,1.6
59,"D3 11:00
15-04-26",0.7,0.7
60,"D3 12:00
15-04-26",0.6,0.5
61,"D3 13:00
15-04-26",0.4,0.3
62,"D3 14:00
15-04-26",0.2,0.1
63,"D3 15:00
15-04-26",0.1,0.1
64,"D3 16:00
15-04-26",0.1,0.1
65,"D3 17:00
15-04-26",0.0,0.1
66,"D3 18:00
15-04-26",0.0,0.1
67,"D3 19:00
15-04-26",0.0,0.1
68,"D3 20:00
15-04-26",0.0,0.1
69,"D3 21:00
15-04-26",0.0,0.1
70,"D3 22:00
15-04-26",0.0,0.1
71,"D3 23:00
15-04-26",0.0,0.0
72,"D4 00:00
16-04-26",0.0,0.1
73,"D4 01:00
16-04-26",0.0,0.1
74,"D4 02:00
16-04-26",0.0,0.1
75,"D4 03:00
16-04-26",0.0,0.1
76,"D4 04:00
16-04-26",0.3,0.2
77,"D4 05:00
16-04-26",0.6,0.7
78,"D4 06:00
16-04-26",1.0,1.2
79,"D4 07:00
16-04-26",0.8,0.4
80,"D4 08:00
16-04-26",1.4,1.3
81,"D4 09:00
16-04-26",1.3,1.0
82,"D4 10:00
16-04-26",2.3,1.9
83,"D4 11:00
16-04-26",1.2,1.0
84,"D4 12:00
16-04-26",1.3,1.4
85,"D4 13:00
16-04-26",0.4,0.3
86,"D4 14:00
16-04-26",0.2,0.2
87,"D4 15:00
16-04-26",0.2,0.1
88,"D4 16:00
16-04-26",0.0,0.1
89,"D4 17:00
16-04-26",0.0,0.1
90,"D4 18:00
16-04-26",0.0,0.1
91,"D4 19:00
16-04-26",0.0,0.0
92,"D4 20:00
16-04-26",0.0,0.1
93,"D4 21:00
16-04-26",0.0,0.1
94,"D4 22:00
16-04-26",0.0,0.1
95,"D4 23:00
16-04-26",0.0,0.0
96,"D5 00:00
17-04-26",0.0,0.1
97,"D5 01:00
17-04-26",0.0,0.1
98,"D5 02:00
17-04-26",0.0,0.0
99,"D5 03:00
17-04-26",0.0,0.1
100,"D5 04:00
17-04-26",0.4,0.2
101,"D5 05:00
17-04-26",0.6,0.7
102,"D5 06:00
17-04-26",0.7,0.9
103,"D5 07:00
17-04-26",0.4,0.8
104,"D5 08:00
17-04-26",1.2,0.9
105,"D5 09:00
17-04-26",1.3,1.0
106,"D5 10:00
17-04-26",2.0,1.6
107,"D5 11:00
17-04-26",1.2,0.6
108,"D5 12:00
17-04-26",0.8,1.0
109,"D5 13:00
17-04-26",0.5,0.4
110,"D5 14:00
17-04-26",0.3,0.1
111,"D5 15:00
17-04-26",0.1,0.1
112,"D5 16:00
17-04-26",0.1,0.0
113,"D5 17:00
17-04-26",0.0,0.1
114,"D5 18:00
17-04-26",0.0,0.1
115,"D5 19:00
17-04-26",0.0,0.0
