TIME,VALUE
2026-04-09T00:00:00.000Z,  0.00
2026-04-09T01:00:00.000Z,  0.00
2026-04-09T02:00:00.000Z,  0.00
2026-04-09T03:00:00.000Z,  0.00
2026-04-09T04:00:00.000Z,  0.00
2026-04-09T05:00:00.000Z,  0.00
2026-04-09T06:00:00.000Z,  0.00
2026-04-09T07:00:00.000Z,  0.05
2026-04-09T08:00:00.000Z,  0.06
2026-04-09T09:00:00.000Z,  0.90
2026-04-09T10:00:00.000Z,  1.14
2026-04-09T11:00:00.000Z,  0.38
2026-04-09T12:00:00.000Z,  1.68
2026-04-09T13:00:00.000Z,  0.75
2026-04-09T14:00:00.000Z,  1.82
2026-04-09T15:00:00.000Z,  0.48
2026-04-09T16:00:00.000Z,  0.26
2026-04-09T17:00:00.000Z,  0.31
2026-04-09T18:00:00.000Z,  0.09
2026-04-09T19:00:00.000Z,  0.01
2026-04-09T20:00:00.000Z,  0.00
2026-04-09T21:00:00.000Z,  0.00
2026-04-09T22:00:00.000Z,  0.00
2026-04-09T23:00:00.000Z,  0.00
2026-04-10T00:00:00.000Z,  0.00
2026-04-10T01:00:00.000Z,  0.00
2026-04-10T02:00:00.000Z,  0.00
2026-04-10T03:00:00.000Z,  0.00
2026-04-10T04:00:00.000Z,  0.00
2026-04-10T05:00:00.000Z,  0.00
2026-04-10T06:00:00.000Z,  0.00
2026-04-10T07:00:00.000Z,  0.00
2026-04-10T08:00:00.000Z,  0.08
2026-04-10T09:00:00.000Z,  0.38
2026-04-10T10:00:00.000Z,  1.48
2026-04-10T11:00:00.000Z,  0.49
2026-04-10T12:00:00.000Z,  1.15
2026-04-10T13:00:00.000Z,  0.65
2026-04-10T14:00:00.000Z,  1.47
2026-04-10T15:00:00.000Z,  0.33
2026-04-10T16:00:00.000Z,  0.56
2026-04-10T17:00:00.000Z,  0.12
2026-04-10T18:00:00.000Z,  0.30
2026-04-10T19:00:00.000Z,  0.00
2026-04-10T20:00:00.000Z,  0.00
2026-04-10T21:00:00.000Z,  0.00
2026-04-10T22:00:00.000Z,  0.00
2026-04-10T23:00:00.000Z,  0.00
