metrica,valor
node_id,000017-05
punto,Gimnasio
ventana_horaria_chile,"00:00 a 24:00 (hora inicio inclusive, fin exclusivo)"
total_m3_referencia,3019.540000
total_m3_auditoria,470.180000
nota,total_ref = periodo con control; total_aud = periodo sin control
ahorro_m3_referencia_menos_auditoria,2549.360000
rendimiento_ahorro_pct_sobre_referencia,84.4288

indice,etiqueta,m3_h_referencia,m3_h_auditoria
0,"D1 00:00
13-04-26",0.0,0.0
1,"D1 01:00
13-04-26",0.0,0.0
2,"D1 02:00
13-04-26",0.0,0.0
3,"D1 03:00
13-04-26",0.02,0.0
4,"D1 04:00
13-04-26",0.64,0.0
5,"D1 05:00
13-04-26",0.02,0.01
6,"D1 06:00
13-04-26",0.01,0.0
7,"D1 07:00
13-04-26",0.02,0.0
8,"D1 08:00
13-04-26",0.02,0.0
9,"D1 09:00
13-04-26",0.26,0.0
10,"D1 10:00
13-04-26",0.0,0.0
11,"D1 11:00
13-04-26",0.13,0.02
12,"D1 12:00
13-04-26",0.88,0.09
13,"D1 13:00
13-04-26",0.76,0.92
14,"D1 14:00
13-04-26",0.82,0.66
15,"D1 15:00
13-04-26",0.89,5.03
16,"D1 16:00
13-04-26",0.5,25.04
17,"D1 17:00
13-04-26",0.45,7.85
18,"D1 18:00
13-04-26",0.1,1.81
19,"D1 19:00
13-04-26",0.02,0.02
20,"D1 20:00
13-04-26",0.01,0.0
21,"D1 21:00
13-04-26",0.0,0.0
22,"D1 22:00
13-04-26",0.0,0.0
23,"D1 23:00
13-04-26",0.0,0.0
24,"D2 00:00
14-04-26",0.0,0.0
25,"D2 01:00
14-04-26",0.0,0.0
26,"D2 02:00
14-04-26",0.0,0.0
27,"D2 03:00
14-04-26",0.0,0.06
28,"D2 04:00
14-04-26",0.03,0.0
29,"D2 05:00
14-04-26",0.0,0.0
30,"D2 06:00
14-04-26",0.03,0.01
31,"D2 07:00
14-04-26",0.23,0.01
32,"D2 08:00
14-04-26",0.02,0.2
33,"D2 09:00
14-04-26",0.01,0.37
34,"D2 10:00
14-04-26",49.16,0.13
35,"D2 11:00
14-04-26",17.81,0.48
36,"D2 12:00
14-04-26",0.1,14.1
37,"D2 13:00
14-04-26",0.0,27.84
38,"D2 14:00
14-04-26",0.04,6.1
39,"D2 15:00
14-04-26",0.04,0.9
40,"D2 16:00
14-04-26",0.13,0.52
41,"D2 17:00
14-04-26",0.09,0.23
42,"D2 18:00
14-04-26",0.08,0.14
43,"D2 19:00
14-04-26",0.03,0.05
44,"D2 20:00
14-04-26",0.0,0.0
45,"D2 21:00
14-04-26",0.0,0.0
46,"D2 22:00
14-04-26",0.0,0.0
47,"D2 23:00
14-04-26",0.0,0.0
48,"D3 00:00
15-04-26",0.0,0.01
49,"D3 01:00
15-04-26",0.0,0.0
50,"D3 02:00
15-04-26",0.0,0.0
51,"D3 03:00
15-04-26",0.03,0.0
52,"D3 04:00
15-04-26",0.0,0.0
53,"D3 05:00
15-04-26",0.05,0.02
54,"D3 06:00
15-04-26",0.04,0.43
55,"D3 07:00
15-04-26",0.0,1.61
56,"D3 08:00
15-04-26",0.03,1.71
57,"D3 09:00
15-04-26",0.06,0.75
58,"D3 10:00
15-04-26",0.0,0.52
59,"D3 11:00
15-04-26",0.0,0.88
60,"D3 12:00
15-04-26",0.56,28.81
61,"D3 13:00
15-04-26",0.5,0.15
62,"D3 14:00
15-04-26",0.45,0.1
63,"D3 15:00
15-04-26",0.52,0.86
64,"D3 16:00
15-04-26",0.34,0.23
65,"D3 17:00
15-04-26",0.01,0.74
66,"D3 18:00
15-04-26",0.0,0.02
67,"D3 19:00
15-04-26",0.0,0.0
68,"D3 20:00
15-04-26",0.0,0.0
69,"D3 21:00
15-04-26",0.0,0.0
70,"D3 22:00
15-04-26",0.0,0.0
71,"D3 23:00
15-04-26",0.0,0.0
72,"D4 00:00
16-04-26",0.0,0.0
73,"D4 01:00
16-04-26",0.0,0.0
74,"D4 02:00
16-04-26",0.0,0.0
75,"D4 03:00
16-04-26",0.0,0.009036612864941847
76,"D4 04:00
16-04-26",0.02,0.0
77,"D4 05:00
16-04-26",0.01,0.009036612864941847
78,"D4 06:00
16-04-26",0.11,0.018073225729883693
79,"D4 07:00
16-04-26",0.69,0.0
80,"D4 08:00
16-04-26",0.99,0.018073225729883693
81,"D4 09:00
16-04-26",0.06,0.08132951578447661
82,"D4 10:00
16-04-26",0.01,0.0
83,"D4 11:00
16-04-26",0.04,0.06325629005459293
84,"D4 12:00
16-04-26",0.69,0.27109838594825536
85,"D4 13:00
16-04-26",0.05,0.4337574175172086
86,"D4 14:00
16-04-26",0.0,8.196207868502254
87,"D4 15:00
16-04-26",0.02,1.4639312841205792
88,"D4 16:00
16-04-26",0.07,21.77823700450985
89,"D4 17:00
16-04-26",0.05,80.95901465701401
90,"D4 18:00
16-04-26",0.01,80.95901465701401
91,"D4 19:00
16-04-26",0.0,80.96805126987894
92,"D4 20:00
16-04-26",0.0,29.341881972466176
93,"D4 21:00
16-04-26",0.0,0.0
94,"D4 22:00
16-04-26",0.0,0.0
95,"D4 23:00
16-04-26",0.0,0.0
96,"D5 00:00
17-04-26",0.0,1.38
97,"D5 01:00
17-04-26",0.0,1.38
98,"D5 02:00
17-04-26",0.0,1.38
99,"D5 03:00
17-04-26",0.0,1.38
100,"D5 04:00
17-04-26",0.0,1.38
101,"D5 05:00
17-04-26",0.016871946706143597,1.38
102,"D5 06:00
17-04-26",0.009641112403510626,1.38
103,"D5 07:00
17-04-26",0.14220640795178174,1.38
104,"D5 08:00
17-04-26",0.2265661414824997,1.38
105,"D5 09:00
17-04-26",0.14220640795178174,1.38
106,"D5 10:00
17-04-26",0.060256952521941416,1.38
107,"D5 11:00
17-04-26",0.11569334884212751,1.38
108,"D5 12:00
17-04-26",0.11087279264037221,1.38
109,"D5 13:00
17-04-26",0.07712889922808501,1.38
110,"D5 14:00
17-04-26",0.21210447287723377,1.38
111,"D5 15:00
17-04-26",0.24343808818864332,1.38
112,"D5 16:00
17-04-26",0.24102781008776566,1.38
113,"D5 17:00
17-04-26",0.2747717035000528,1.38
114,"D5 18:00
17-04-26",11.550052659405731,1.38
