TIME,VALUE
2026-04-17T00:00:00.000Z,  0.00
2026-04-17T01:00:00.000Z,  0.00
2026-04-17T02:00:00.000Z,  0.00
2026-04-17T03:00:00.000Z,  0.00
2026-04-17T04:00:00.000Z,  0.00
2026-04-17T05:00:00.000Z,  0.00
2026-04-17T06:00:00.000Z,  0.00
2026-04-17T07:00:00.000Z,  0.00
2026-04-17T08:00:00.000Z,  0.00
2026-04-17T09:00:00.000Z,  0.07
2026-04-17T10:00:00.000Z,  0.04
2026-04-17T11:00:00.000Z,  0.59
2026-04-17T12:00:00.000Z,  0.94
2026-04-17T13:00:00.000Z,  0.59
2026-04-17T14:00:00.000Z,  0.25
2026-04-17T15:00:00.000Z,  0.48
2026-04-17T16:00:00.000Z,  0.46
2026-04-17T17:00:00.000Z,  0.32
2026-04-17T18:00:00.000Z,  0.88
2026-04-17T19:00:00.000Z,  1.01
2026-04-17T20:00:00.000Z,  1.00
2026-04-17T21:00:00.000Z,  1.14
2026-04-17T22:00:00.000Z, 47.92
2026-04-17T23:00:00.000Z, 58.28
2026-04-18T00:00:00.000Z, 89.58
2026-04-18T01:00:00.000Z, 89.06
2026-04-18T02:00:00.000Z, 90.65
2026-04-18T03:00:00.000Z, 89.59
2026-04-18T04:00:00.000Z, 89.59
2026-04-18T05:00:00.000Z, 89.60
2026-04-18T06:00:00.000Z, 89.60
2026-04-18T07:00:00.000Z, 89.59
2026-04-18T08:00:00.000Z, 89.60
2026-04-18T09:00:00.000Z, 89.59
2026-04-18T10:00:00.000Z, 89.57
2026-04-18T11:00:00.000Z, 89.55
2026-04-18T12:00:00.000Z, 89.53
2026-04-18T13:00:00.000Z, 89.44
2026-04-18T14:00:00.000Z, 89.48
2026-04-18T15:00:00.000Z, 66.07
2026-04-18T16:00:00.000Z,  8.85
2026-04-18T17:00:00.000Z, 89.53
2026-04-18T18:00:00.000Z, 89.53
2026-04-18T19:00:00.000Z, 89.54
2026-04-18T20:00:00.000Z, 89.56
2026-04-18T21:00:00.000Z, 89.55
2026-04-18T22:00:00.000Z, 89.56
2026-04-18T23:00:00.000Z, 89.55
