TIME,VALUE
2026-04-16T00:00:00.000Z,  0.00
2026-04-16T01:00:00.000Z,  0.10
2026-04-16T02:00:00.000Z,  0.00
2026-04-16T03:00:00.000Z,  0.00
2026-04-16T04:00:00.000Z,  0.00
2026-04-16T05:00:00.000Z,  0.00
2026-04-16T06:00:00.000Z,  0.00
2026-04-16T07:00:00.000Z,  0.00
2026-04-16T08:00:00.000Z,  2.10
2026-04-16T09:00:00.000Z,  2.20
2026-04-16T10:00:00.000Z,  3.70
2026-04-16T11:00:00.000Z,  3.30
2026-04-16T12:00:00.000Z,  3.50
2026-04-16T13:00:00.000Z,  3.80
2026-04-16T14:00:00.000Z,  4.50
2026-04-16T15:00:00.000Z,  2.60
2026-04-16T16:00:00.000Z,  3.60
2026-04-16T17:00:00.000Z,  2.30
2026-04-16T18:00:00.000Z,  2.20
2026-04-16T19:00:00.000Z,  1.50
2026-04-16T20:00:00.000Z,  0.90
2026-04-16T21:00:00.000Z,  0.10
2026-04-16T22:00:00.000Z,  0.10
2026-04-16T23:00:00.000Z,  0.00
2026-04-17T00:00:00.000Z,  0.00
2026-04-17T01:00:00.000Z,  0.10
2026-04-17T02:00:00.000Z,  0.00
2026-04-17T03:00:00.000Z,  0.00
2026-04-17T04:00:00.000Z,  0.00
2026-04-17T05:00:00.000Z,  0.00
2026-04-17T06:00:00.000Z,  0.00
2026-04-17T07:00:00.000Z,  0.00
2026-04-17T08:00:00.000Z,  2.00
2026-04-17T09:00:00.000Z,  2.10
2026-04-17T10:00:00.000Z,  3.00
2026-04-17T11:00:00.000Z,  3.10
2026-04-17T12:00:00.000Z,  3.00
2026-04-17T13:00:00.000Z,  3.20
2026-04-17T14:00:00.000Z,  4.50
2026-04-17T15:00:00.000Z,  3.20
2026-04-17T16:00:00.000Z,  2.40
2026-04-17T17:00:00.000Z,  2.00
2026-04-17T18:00:00.000Z,  1.70
2026-04-17T19:00:00.000Z,  1.70
2026-04-17T20:00:00.000Z,  1.10
2026-04-17T21:00:00.000Z,  0.10
2026-04-17T22:00:00.000Z,  0.00
2026-04-17T23:00:00.000Z,  0.10
