metrica,valor
node_id,000017-06
punto,Piscina Municipal
ventana_horaria_chile,"00:00 a 24:00 (hora inicio inclusive, fin exclusivo)"
total_m3_referencia,297.800000
total_m3_auditoria,698.740000
nota,total_ref = periodo con control; total_aud = periodo sin control
ahorro_m3_referencia_menos_auditoria,-400.940000
rendimiento_ahorro_pct_sobre_referencia,-134.6340

indice,etiqueta,m3_h_referencia,m3_h_auditoria
0,"D1 00:00
13-04-26",0.0,0.0
1,"D1 01:00
13-04-26",0.0,0.0
2,"D1 02:00
13-04-26",0.0,0.0
3,"D1 03:00
13-04-26",0.0,0.0
4,"D1 04:00
13-04-26",4.233542319749216,0.0
5,"D1 05:00
13-04-26",4.187774294670846,2.499127531716003
6,"D1 06:00
13-04-26",4.142006269592476,3.6465257066547965
7,"D1 07:00
13-04-26",4.164890282131661,3.6465257066547965
8,"D1 08:00
13-04-26",4.142006269592476,3.6465257066547965
9,"D1 09:00
13-04-26",4.256426332288401,3.615090140218117
10,"D1 10:00
13-04-26",4.164890282131661,3.615090140218117
11,"D1 11:00
13-04-26",4.164890282131661,3.6622434898731364
12,"D1 12:00
13-04-26",4.164890282131661,4.118059203204986
13,"D1 13:00
13-04-26",4.164890282131661,5.029690629868686
14,"D1 14:00
13-04-26",4.142006269592476,3.7408324059648344
15,"D1 15:00
13-04-26",4.187774294670846,3.6622434898731364
16,"D1 16:00
13-04-26",0.9840125391849528,3.693679056309816
17,"D1 17:00
13-04-26",0.0,3.7408324059648344
18,"D1 18:00
13-04-26",0.0,3.693679056309816
19,"D1 19:00
13-04-26",0.0,3.4893478744714006
20,"D1 20:00
13-04-26",0.0,3.7879857556198537
21,"D1 21:00
13-04-26",0.0,3.725114622746495
22,"D1 22:00
13-04-26",0.0,3.8351391052748722
23,"D1 23:00
13-04-26",0.0,3.7722679724015133
24,"D2 00:00
14-04-26",0.0,4.8
25,"D2 01:00
14-04-26",0.0,4.78
26,"D2 02:00
14-04-26",0.0,4.8
27,"D2 03:00
14-04-26",0.0,4.6
28,"D2 04:00
14-04-26",3.66,4.68
29,"D2 05:00
14-04-26",4.26,4.9
30,"D2 06:00
14-04-26",3.64,4.76
31,"D2 07:00
14-04-26",3.72,4.82
32,"D2 08:00
14-04-26",3.88,7.12
33,"D2 09:00
14-04-26",3.64,9.42
34,"D2 10:00
14-04-26",3.64,9.48
35,"D2 11:00
14-04-26",3.68,7.98
36,"D2 12:00
14-04-26",3.66,4.98
37,"D2 13:00
14-04-26",3.64,4.94
38,"D2 14:00
14-04-26",3.6,4.92
39,"D2 15:00
14-04-26",3.6,5.0
40,"D2 16:00
14-04-26",0.66,5.0
41,"D2 17:00
14-04-26",0.0,4.88
42,"D2 18:00
14-04-26",0.0,4.82
43,"D2 19:00
14-04-26",0.0,4.98
44,"D2 20:00
14-04-26",0.0,5.02
45,"D2 21:00
14-04-26",0.0,4.98
46,"D2 22:00
14-04-26",0.0,5.0
47,"D2 23:00
14-04-26",0.0,5.0
48,"D3 00:00
15-04-26",0.0,5.0
49,"D3 01:00
15-04-26",0.0,4.96
50,"D3 02:00
15-04-26",0.0,5.08
51,"D3 03:00
15-04-26",0.0,4.7
52,"D3 04:00
15-04-26",3.7,4.94
53,"D3 05:00
15-04-26",3.6,5.74
54,"D3 06:00
15-04-26",3.6,5.24
55,"D3 07:00
15-04-26",3.66,7.9
56,"D3 08:00
15-04-26",3.64,7.76
57,"D3 09:00
15-04-26",3.66,9.46
58,"D3 10:00
15-04-26",3.68,9.62
59,"D3 11:00
15-04-26",3.6,9.6
60,"D3 12:00
15-04-26",3.6,9.62
61,"D3 13:00
15-04-26",3.6,7.98
62,"D3 14:00
15-04-26",3.62,4.92
63,"D3 15:00
15-04-26",3.6,5.08
64,"D3 16:00
15-04-26",0.6,5.12
65,"D3 17:00
15-04-26",0.0,4.98
66,"D3 18:00
15-04-26",0.0,5.08
67,"D3 19:00
15-04-26",0.0,4.98
68,"D3 20:00
15-04-26",0.0,4.64
69,"D3 21:00
15-04-26",0.0,4.54
70,"D3 22:00
15-04-26",0.0,4.52
71,"D3 23:00
15-04-26",0.0,4.54
72,"D4 00:00
16-04-26",0.0,4.781947050239732
73,"D4 01:00
16-04-26",0.0,4.781947050239732
74,"D4 02:00
16-04-26",0.0,4.76078799249531
75,"D4 03:00
16-04-26",0.0,4.803106107984156
76,"D4 04:00
16-04-26",3.68,5.268605378361476
77,"D4 05:00
16-04-26",3.62,5.3320825515947465
78,"D4 06:00
16-04-26",3.6,5.2897644361059
79,"D4 07:00
16-04-26",3.62,5.3320825515947465
80,"D4 08:00
16-04-26",3.64,5.2897644361059
81,"D4 09:00
16-04-26",4.9,5.014696685428393
82,"D4 10:00
16-04-26",5.32,3.8297894517406714
83,"D4 11:00
16-04-26",5.26,3.7028351052741293
84,"D4 12:00
16-04-26",5.28,3.723994163018553
85,"D4 13:00
16-04-26",4.6,3.7028351052741293
86,"D4 14:00
16-04-26",3.68,3.7028351052741293
87,"D4 15:00
16-04-26",3.66,3.745153220762977
88,"D4 16:00
16-04-26",0.56,3.8086303939962476
89,"D4 17:00
16-04-26",0.0,3.745153220762977
90,"D4 18:00
16-04-26",0.0,3.723994163018553
91,"D4 19:00
16-04-26",0.0,3.745153220762977
92,"D4 20:00
16-04-26",0.0,3.448926412341046
93,"D4 21:00
16-04-26",0.0,3.279653950385658
94,"D4 22:00
16-04-26",0.0,3.3642901813633523
95,"D4 23:00
16-04-26",0.0,3.321972065874505
96,"D5 00:00
17-04-26",0.0,3.14
97,"D5 01:00
17-04-26",0.0,3.12
98,"D5 02:00
17-04-26",0.0,3.14
99,"D5 03:00
17-04-26",0.0,3.22
100,"D5 04:00
17-04-26",3.8,3.54
101,"D5 05:00
17-04-26",4.48,3.54
102,"D5 06:00
17-04-26",3.7,3.6
103,"D5 07:00
17-04-26",3.68,3.56
104,"D5 08:00
17-04-26",3.72,3.58
105,"D5 09:00
17-04-26",3.7,3.58
106,"D5 10:00
17-04-26",3.7,3.56
107,"D5 11:00
17-04-26",3.74,3.58
108,"D5 12:00
17-04-26",7.32,3.5
109,"D5 13:00
17-04-26",8.2,3.54
