TIME,VALUE
2026-03-25T00:00:00.000Z,  0.00
2026-03-25T01:00:00.000Z,  0.00
2026-03-25T02:00:00.000Z,  0.00
2026-03-25T03:00:00.000Z,  0.00
2026-03-25T04:00:00.000Z,  0.00
2026-03-25T05:00:00.000Z,  0.00
2026-03-25T06:00:00.000Z,  0.00
2026-03-25T07:00:00.000Z,  0.00
2026-03-25T08:00:00.000Z,  2.06
2026-03-25T09:00:00.000Z,  2.07
2026-03-25T10:00:00.000Z,  2.05
2026-03-25T11:00:00.000Z,  2.03
2026-03-25T12:00:00.000Z,  2.01
2026-03-25T13:00:00.000Z,  2.01
2026-03-25T14:00:00.000Z,  2.04
2026-03-25T15:00:00.000Z,  2.55
2026-03-25T16:00:00.000Z,  4.20
2026-03-25T17:00:00.000Z,  3.51
2026-03-25T18:00:00.000Z,  2.11
2026-03-25T19:00:00.000Z,  2.01
2026-03-25T20:00:00.000Z,  0.18
2026-03-25T21:00:00.000Z,  0.00
2026-03-25T22:00:00.000Z,  0.00
2026-03-25T23:00:00.000Z,  0.00
2026-03-25T00:00:00.000Z,  0.00
2026-03-25T01:00:00.000Z,  0.00
2026-03-25T02:00:00.000Z,  0.00
2026-03-25T03:00:00.000Z,  0.00
2026-03-25T04:00:00.000Z,  0.00
2026-03-25T05:00:00.000Z,  0.00
2026-03-25T06:00:00.000Z,  0.00
2026-03-25T07:00:00.000Z,  0.00
2026-03-25T08:00:00.000Z,  2.06
2026-03-25T09:00:00.000Z,  2.07
2026-03-25T10:00:00.000Z,  2.05
2026-03-25T11:00:00.000Z,  2.03
2026-03-25T12:00:00.000Z,  2.01
2026-03-25T13:00:00.000Z,  2.01
2026-03-25T14:00:00.000Z,  2.04
2026-03-25T15:00:00.000Z,  2.55
2026-03-25T16:00:00.000Z,  4.20
2026-03-25T17:00:00.000Z,  3.51
2026-03-25T18:00:00.000Z,  2.11
2026-03-25T19:00:00.000Z,  2.01
2026-03-25T20:00:00.000Z,  0.18
2026-03-25T21:00:00.000Z,  0.00
2026-03-25T22:00:00.000Z,  0.00
2026-03-25T23:00:00.000Z,  0.00
2026-03-26T00:00:00.000Z,  0.00
2026-03-26T01:00:00.000Z,  0.00
2026-03-26T02:00:00.000Z,  0.00
2026-03-26T03:00:00.000Z,  0.00
2026-03-26T04:00:00.000Z,  0.00
2026-03-26T05:00:00.000Z,  0.00
2026-03-26T06:00:00.000Z,  0.00
2026-03-26T07:00:00.000Z,  0.00
2026-03-26T08:00:00.000Z,  2.16
2026-03-26T09:00:00.000Z,  2.19
2026-03-26T10:00:00.000Z,  2.11
2026-03-26T11:00:00.000Z,  2.07
2026-03-26T12:00:00.000Z,  2.06
2026-03-26T13:00:00.000Z,  2.06
2026-03-26T14:00:00.000Z,  2.05
2026-03-26T15:00:00.000Z,  2.13
2026-03-26T16:00:00.000Z,  2.07
2026-03-26T17:00:00.000Z,  2.06
2026-03-26T18:00:00.000Z,  2.11
2026-03-26T19:00:00.000Z,  2.05
2026-03-26T20:00:00.000Z,  0.16
2026-03-26T21:00:00.000Z,  0.00
2026-03-26T22:00:00.000Z,  0.00
2026-03-26T23:00:00.000Z,  0.00
2026-03-26T00:00:00.000Z,  0.00
2026-03-26T01:00:00.000Z,  0.00
2026-03-26T02:00:00.000Z,  0.00
2026-03-26T03:00:00.000Z,  0.00
2026-03-26T04:00:00.000Z,  0.00
2026-03-26T05:00:00.000Z,  0.00
2026-03-26T06:00:00.000Z,  0.00
2026-03-26T07:00:00.000Z,  0.00
2026-03-26T08:00:00.000Z,  2.16
2026-03-26T09:00:00.000Z,  2.19
2026-03-26T10:00:00.000Z,  2.11
2026-03-26T11:00:00.000Z,  2.07
2026-03-26T12:00:00.000Z,  2.06
2026-03-26T13:00:00.000Z,  2.06
2026-03-26T14:00:00.000Z,  2.05
2026-03-26T15:00:00.000Z,  2.13
2026-03-26T16:00:00.000Z,  2.07
2026-03-26T17:00:00.000Z,  2.06
2026-03-26T18:00:00.000Z,  2.11
2026-03-26T19:00:00.000Z,  2.05
2026-03-26T20:00:00.000Z,  0.16
2026-03-26T21:00:00.000Z,  0.00
2026-03-26T22:00:00.000Z,  0.00
2026-03-26T23:00:00.000Z,  0.00
