TIME,VALUE
2026-08-11T00:00:00.000Z,  0.00
2026-08-11T01:00:00.000Z,  0.00
2026-08-11T02:00:00.000Z,  0.00
2026-08-11T03:00:00.000Z,  0.00
2026-08-11T04:00:00.000Z,  0.00
2026-08-11T05:00:00.000Z,  0.00
2026-08-11T06:00:00.000Z,  0.00
2026-08-11T07:00:00.000Z,  0.26
2026-08-11T08:00:00.000Z,  0.58
2026-08-11T09:00:00.000Z,  1.01
2026-08-11T10:00:00.000Z,  1.23
2026-08-11T11:00:00.000Z,  0.84
2026-08-11T12:00:00.000Z,  0.53
2026-08-11T13:00:00.000Z,  0.43
2026-08-11T14:00:00.000Z,  1.13
2026-08-11T15:00:00.000Z,  0.83
2026-08-11T16:00:00.000Z,  0.35
2026-08-11T17:00:00.000Z,  0.23
2026-08-11T18:00:00.000Z,  0.07
2026-08-11T19:00:00.000Z,  0.01
2026-08-11T20:00:00.000Z,  0.01
2026-08-11T21:00:00.000Z,  0.01
2026-08-11T22:00:00.000Z,  0.00
2026-08-11T23:00:00.000Z,  0.00
2026-08-12T00:00:00.000Z,  0.00
2026-08-12T01:00:00.000Z,  0.00
2026-08-12T02:00:00.000Z,  0.00
2026-08-12T03:00:00.000Z,  0.00
2026-08-12T04:00:00.000Z,  0.00
2026-08-12T05:00:00.000Z,  0.00
2026-08-12T06:00:00.000Z,  0.00
2026-08-12T07:00:00.000Z,  0.02
2026-08-12T08:00:00.000Z,  0.27
2026-08-12T09:00:00.000Z,  0.25
2026-08-12T10:00:00.000Z,  0.78
2026-08-12T11:00:00.000Z,  1.22
2026-08-12T12:00:00.000Z,  0.62
2026-08-12T13:00:00.000Z,  0.90
2026-08-12T14:00:00.000Z,  1.03
2026-08-12T15:00:00.000Z,  0.57
2026-08-12T16:00:00.000Z,  0.58
2026-08-12T17:00:00.000Z,  0.25
2026-08-12T18:00:00.000Z,  0.30
2026-08-12T19:00:00.000Z,  0.20
2026-08-12T20:00:00.000Z,  0.19
2026-08-12T21:00:00.000Z,  0.18
2026-08-12T22:00:00.000Z,  0.01
2026-08-12T23:00:00.000Z,  0.00
