TIME,VALUE
2026-08-20T00:00:00.000Z,  0.13
2026-08-20T01:00:00.000Z,  0.12
2026-08-20T02:00:00.000Z,  0.15
2026-08-20T03:00:00.000Z,  0.14
2026-08-20T04:00:00.000Z,  0.11
2026-08-20T05:00:00.000Z,  0.12
2026-08-20T06:00:00.000Z,  0.12
2026-08-20T07:00:00.000Z,  0.11
2026-08-20T08:00:00.000Z,  0.18
2026-08-20T09:00:00.000Z,  0.14
2026-08-20T10:00:00.000Z,  0.18
2026-08-20T11:00:00.000Z,  0.09
2026-08-20T12:00:00.000Z,  0.08
2026-08-20T13:00:00.000Z,  0.17
2026-08-20T14:00:00.000Z,  0.13
2026-08-20T15:00:00.000Z,  0.17
2026-08-20T16:00:00.000Z,  0.22
2026-08-20T17:00:00.000Z,  0.20
