metrica,valor
node_id,000017-07
punto,ICCP (Cumbre de Cóndores pte.)
ventana_horaria_chile,"00:00 a 24:00 (hora inicio inclusive, fin exclusivo)"
total_m3_referencia,59.700000
total_m3_auditoria,109.800000
nota,total_ref = periodo con control; total_aud = periodo sin control
ahorro_m3_referencia_menos_auditoria,-50.100000
rendimiento_ahorro_pct_sobre_referencia,-83.9196

indice,etiqueta,m3_h_referencia,m3_h_auditoria
0,"D1 00:00
10-08-26",0.0,0.0
1,"D1 01:00
10-08-26",0.0,0.7
2,"D1 02:00
10-08-26",0.0,0.6
3,"D1 03:00
10-08-26",0.0,0.6
4,"D1 04:00
10-08-26",0.0,0.5
5,"D1 05:00
10-08-26",0.0,0.6
6,"D1 06:00
10-08-26",0.0,0.6
7,"D1 07:00
10-08-26",0.0,0.6
8,"D1 08:00
10-08-26",1.1,0.8
9,"D1 09:00
10-08-26",1.2,1.3
10,"D1 10:00
10-08-26",1.4,1.4
11,"D1 11:00
10-08-26",1.1,0.8
12,"D1 12:00
10-08-26",2.2,1.8
13,"D1 13:00
10-08-26",2.0,1.7
14,"D1 14:00
10-08-26",2.2,2.4
15,"D1 15:00
10-08-26",1.5,1.1
16,"D1 16:00
10-08-26",1.6,1.6
17,"D1 17:00
10-08-26",0.9,0.9
18,"D1 18:00
10-08-26",0.5,0.6
19,"D1 19:00
10-08-26",0.6,0.5
20,"D1 20:00
10-08-26",0.0,0.5
21,"D1 21:00
10-08-26",0.0,0.5
22,"D1 22:00
10-08-26",0.0,0.6
23,"D1 23:00
10-08-26",0.0,0.5
24,"D2 00:00
11-08-26",0.0,0.5
25,"D2 01:00
11-08-26",0.0,0.5
26,"D2 02:00
11-08-26",0.0,0.5
27,"D2 03:00
11-08-26",0.0,0.6
28,"D2 04:00
11-08-26",0.0,0.6
29,"D2 05:00
11-08-26",0.0,0.5
30,"D2 06:00
11-08-26",0.0,0.6
31,"D2 07:00
11-08-26",0.0,0.6
32,"D2 08:00
11-08-26",0.9,0.6
33,"D2 09:00
11-08-26",1.3,1.4
34,"D2 10:00
11-08-26",1.0,1.2
35,"D2 11:00
11-08-26",1.5,1.4
36,"D2 12:00
11-08-26",1.8,1.6
37,"D2 13:00
11-08-26",1.8,1.3
38,"D2 14:00
11-08-26",2.2,2.7
39,"D2 15:00
11-08-26",1.2,1.5
40,"D2 16:00
11-08-26",1.4,1.3
41,"D2 17:00
11-08-26",1.0,0.8
42,"D2 18:00
11-08-26",0.7,0.6
43,"D2 19:00
11-08-26",0.6,0.5
44,"D2 20:00
11-08-26",0.0,0.5
45,"D2 21:00
11-08-26",0.0,0.5
46,"D2 22:00
11-08-26",0.1,0.6
47,"D2 23:00
11-08-26",0.0,0.5
48,"D3 00:00
12-08-26",0.0,0.6
49,"D3 01:00
12-08-26",0.0,0.5
50,"D3 02:00
12-08-26",0.0,0.6
51,"D3 03:00
12-08-26",0.0,0.5
52,"D3 04:00
12-08-26",0.0,0.6
53,"D3 05:00
12-08-26",0.0,0.5
54,"D3 06:00
12-08-26",0.0,0.6
55,"D3 07:00
12-08-26",0.0,0.5
56,"D3 08:00
12-08-26",0.8,0.6
57,"D3 09:00
12-08-26",1.3,1.1
58,"D3 10:00
12-08-26",1.6,1.2
59,"D3 11:00
12-08-26",1.2,1.4
60,"D3 12:00
12-08-26",1.8,1.8
61,"D3 13:00
12-08-26",1.5,1.4
62,"D3 14:00
12-08-26",1.9,1.5
63,"D3 15:00
12-08-26",1.0,1.4
64,"D3 16:00
12-08-26",0.8,0.9
65,"D3 17:00
12-08-26",0.6,0.8
66,"D3 18:00
12-08-26",0.4,0.8
67,"D3 19:00
12-08-26",0.5,9.7
68,"D3 20:00
12-08-26",0.1,9.7
69,"D3 21:00
12-08-26",0.0,7.3
70,"D3 22:00
12-08-26",0.0,4.7
71,"D3 23:00
12-08-26",0.0,1.0
72,"D4 00:00
13-08-26",0.0,0.5
73,"D4 01:00
13-08-26",0.0,0.6
74,"D4 02:00
13-08-26",0.0,0.5
75,"D4 03:00
13-08-26",0.0,0.6
76,"D4 04:00
13-08-26",0.0,0.5
77,"D4 05:00
13-08-26",0.0,0.6
78,"D4 06:00
13-08-26",0.0,0.5
79,"D4 07:00
13-08-26",0.0,0.6
80,"D4 08:00
13-08-26",1.2,0.6
81,"D4 09:00
13-08-26",1.2,1.4
82,"D4 10:00
13-08-26",1.0,1.0
83,"D4 11:00
13-08-26",1.1,1.1
84,"D4 12:00
13-08-26",1.5,1.7
85,"D4 13:00
13-08-26",1.7,1.6
86,"D4 14:00
13-08-26",1.7,2.1
87,"D4 15:00
13-08-26",1.5,1.2
88,"D4 16:00
13-08-26",1.4,1.5
89,"D4 17:00
13-08-26",0.8,0.9
90,"D4 18:00
13-08-26",0.6,0.0
91,"D4 19:00
13-08-26",0.6,0.0
92,"D4 20:00
13-08-26",0.1,0.0
93,"D4 21:00
13-08-26",0.0,0.0
94,"D4 22:00
13-08-26",0.0,0.0
95,"D4 23:00
13-08-26",0.0,0.0

nota_comparacion_24h,Total diario = suma horas 0-23 (m³/h); aproxima consumo del día en m³.
dia,fecha_con,fecha_sin,total_m3_con,total_m3_sin,diferencia_con_menos_sin
Lunes,2026-08-10,2026-08-17,16.300000,21.200000,-4.900000
Martes,2026-08-11,2026-08-18,15.500000,21.400000,-5.900000
Miércoles,2026-08-12,2026-08-19,13.500000,49.700000,-36.200000
Jueves,2026-08-13,2026-08-20,14.400000,17.500000,-3.100000
