metrica,valor
node_id,000017-06
punto,Piscina municipal
ventana_horaria_chile,"00:00 a 24:00 (hora inicio inclusive, fin exclusivo)"
total_m3_referencia,125.010000
total_m3_auditoria,216.560000
nota,total_ref = periodo con control; total_aud = periodo sin control
ahorro_m3_referencia_menos_auditoria,-91.550000
rendimiento_ahorro_pct_sobre_referencia,-73.2341

indice,etiqueta,m3_h_referencia,m3_h_auditoria
0,"D1 00:00
10-08-26",0.0,0.0
1,"D1 01:00
10-08-26",0.0,2.28
2,"D1 02:00
10-08-26",0.0,2.33
3,"D1 03:00
10-08-26",0.0,2.3
4,"D1 04:00
10-08-26",0.0,2.26
5,"D1 05:00
10-08-26",0.0,2.24
6,"D1 06:00
10-08-26",0.0,2.24
7,"D1 07:00
10-08-26",0.0,2.27
8,"D1 08:00
10-08-26",2.54,2.5
9,"D1 09:00
10-08-26",2.5,2.54
10,"D1 10:00
10-08-26",2.53,2.59
11,"D1 11:00
10-08-26",2.48,2.5
12,"D1 12:00
10-08-26",2.59,2.53
13,"D1 13:00
10-08-26",2.51,2.48
14,"D1 14:00
10-08-26",2.51,2.48
15,"D1 15:00
10-08-26",2.51,2.51
16,"D1 16:00
10-08-26",2.52,2.56
17,"D1 17:00
10-08-26",2.48,2.51
18,"D1 18:00
10-08-26",2.49,2.53
19,"D1 19:00
10-08-26",2.48,2.51
20,"D1 20:00
10-08-26",0.93,2.48
21,"D1 21:00
10-08-26",0.0,2.5
22,"D1 22:00
10-08-26",0.0,2.5
23,"D1 23:00
10-08-26",0.0,2.51
24,"D2 00:00
11-08-26",0.0,2.34
25,"D2 01:00
11-08-26",0.0,2.24
26,"D2 02:00
11-08-26",0.0,2.28
27,"D2 03:00
11-08-26",0.0,2.36
28,"D2 04:00
11-08-26",0.0,2.32
29,"D2 05:00
11-08-26",0.0,2.3
30,"D2 06:00
11-08-26",0.0,2.27
31,"D2 07:00
11-08-26",0.0,2.28
32,"D2 08:00
11-08-26",2.52,2.54
33,"D2 09:00
11-08-26",2.64,2.52
34,"D2 10:00
11-08-26",2.5,2.51
35,"D2 11:00
11-08-26",2.53,2.51
36,"D2 12:00
11-08-26",2.48,2.48
37,"D2 13:00
11-08-26",2.52,2.52
38,"D2 14:00
11-08-26",2.55,2.51
39,"D2 15:00
11-08-26",2.61,2.51
40,"D2 16:00
11-08-26",2.52,2.51
41,"D2 17:00
11-08-26",2.51,2.49
42,"D2 18:00
11-08-26",2.51,2.48
43,"D2 19:00
11-08-26",2.5,2.55
44,"D2 20:00
11-08-26",1.05,2.47
45,"D2 21:00
11-08-26",0.0,2.47
46,"D2 22:00
11-08-26",0.0,2.54
47,"D2 23:00
11-08-26",0.0,2.52
48,"D3 00:00
12-08-26",0.0,2.35
49,"D3 01:00
12-08-26",0.0,2.28
50,"D3 02:00
12-08-26",0.0,2.25
51,"D3 03:00
12-08-26",0.0,2.27
52,"D3 04:00
12-08-26",0.0,2.28
53,"D3 05:00
12-08-26",0.0,2.27
54,"D3 06:00
12-08-26",0.0,2.24
55,"D3 07:00
12-08-26",0.0,2.27
56,"D3 08:00
12-08-26",2.54,2.49
57,"D3 09:00
12-08-26",2.59,2.55
58,"D3 10:00
12-08-26",2.55,2.51
59,"D3 11:00
12-08-26",2.53,2.49
60,"D3 12:00
12-08-26",2.48,2.54
61,"D3 13:00
12-08-26",2.48,2.5
62,"D3 14:00
12-08-26",2.49,2.52
63,"D3 15:00
12-08-26",2.49,2.52
64,"D3 16:00
12-08-26",2.47,2.49
65,"D3 17:00
12-08-26",2.47,2.51
66,"D3 18:00
12-08-26",2.48,2.48
67,"D3 19:00
12-08-26",2.5,2.48
68,"D3 20:00
12-08-26",1.08,2.52
69,"D3 21:00
12-08-26",0.0,2.48
70,"D3 22:00
12-08-26",0.0,2.53
71,"D3 23:00
12-08-26",0.0,2.58
72,"D4 00:00
13-08-26",0.0,2.36
73,"D4 01:00
13-08-26",0.0,2.26
74,"D4 02:00
13-08-26",0.0,2.29
75,"D4 03:00
13-08-26",0.0,2.35
76,"D4 04:00
13-08-26",0.0,2.28
77,"D4 05:00
13-08-26",0.0,2.31
78,"D4 06:00
13-08-26",0.0,2.27
79,"D4 07:00
13-08-26",0.0,2.28
80,"D4 08:00
13-08-26",2.55,2.53
81,"D4 09:00
13-08-26",2.5,2.54
82,"D4 10:00
13-08-26",2.5,2.53
83,"D4 11:00
13-08-26",2.46,2.51
84,"D4 12:00
13-08-26",2.49,2.52
85,"D4 13:00
13-08-26",2.55,2.47
86,"D4 14:00
13-08-26",2.53,2.5
87,"D4 15:00
13-08-26",2.5,2.51
88,"D4 16:00
13-08-26",2.52,2.47
89,"D4 17:00
13-08-26",2.6,2.51
90,"D4 18:00
13-08-26",2.54,0.0
91,"D4 19:00
13-08-26",2.54,0.0
92,"D4 20:00
13-08-26",1.07,0.0
93,"D4 21:00
13-08-26",0.0,0.0
94,"D4 22:00
13-08-26",0.0,0.0
95,"D4 23:00
13-08-26",0.0,0.0

nota_comparacion_24h,Total diario = suma horas 0-23 (m³/h); aproxima consumo del día en m³.
dia,fecha_con,fecha_sin,total_m3_con,total_m3_sin,diferencia_con_menos_sin
Lunes,2026-08-10,2026-08-17,31.070000,56.150000,-25.080000
Martes,2026-08-11,2026-08-18,31.440000,58.520000,-27.080000
Miércoles,2026-08-12,2026-08-19,31.150000,58.400000,-27.250000
Jueves,2026-08-13,2026-08-20,31.350000,43.490000,-12.140000
