metrica,valor
node_id,000017-04
punto,Esc. Lo Velásquez
ventana_horaria_chile,"00:00 a 24:00 (hora inicio inclusive, fin exclusivo)"
total_m3_referencia,39.380000
total_m3_auditoria,24.440000
nota,total_ref = periodo con control; total_aud = periodo sin control
ahorro_m3_referencia_menos_auditoria,14.940000
rendimiento_ahorro_pct_sobre_referencia,37.9380

indice,etiqueta,m3_h_referencia,m3_h_auditoria
0,"D1 00:00
10-08-26",0.0,0.0
1,"D1 01:00
10-08-26",0.0,0.0
2,"D1 02:00
10-08-26",0.0,0.0
3,"D1 03:00
10-08-26",0.0,0.0
4,"D1 04:00
10-08-26",0.0,0.0
5,"D1 05:00
10-08-26",0.0,0.0
6,"D1 06:00
10-08-26",0.0,0.0
7,"D1 07:00
10-08-26",0.02,0.0
8,"D1 08:00
10-08-26",0.09,0.07
9,"D1 09:00
10-08-26",0.56,0.31
10,"D1 10:00
10-08-26",0.86,0.99
11,"D1 11:00
10-08-26",0.26,0.27
12,"D1 12:00
10-08-26",0.91,0.78
13,"D1 13:00
10-08-26",0.6,0.71
14,"D1 14:00
10-08-26",1.03,0.76
15,"D1 15:00
10-08-26",0.24,0.4
16,"D1 16:00
10-08-26",0.47,0.36
17,"D1 17:00
10-08-26",0.44,0.1
18,"D1 18:00
10-08-26",0.62,0.1
19,"D1 19:00
10-08-26",0.56,0.04
20,"D1 20:00
10-08-26",0.54,0.0
21,"D1 21:00
10-08-26",0.52,0.0
22,"D1 22:00
10-08-26",0.05,0.0
23,"D1 23:00
10-08-26",0.0,0.0
24,"D2 00:00
11-08-26",0.0,0.0
25,"D2 01:00
11-08-26",0.0,0.0
26,"D2 02:00
11-08-26",0.0,0.0
27,"D2 03:00
11-08-26",0.0,0.0
28,"D2 04:00
11-08-26",0.0,0.0
29,"D2 05:00
11-08-26",0.0,0.0
30,"D2 06:00
11-08-26",0.0,0.0
31,"D2 07:00
11-08-26",0.26,0.0
32,"D2 08:00
11-08-26",0.58,0.03
33,"D2 09:00
11-08-26",1.01,0.53
34,"D2 10:00
11-08-26",1.23,0.85
35,"D2 11:00
11-08-26",0.84,0.32
36,"D2 12:00
11-08-26",0.53,0.9
37,"D2 13:00
11-08-26",0.43,0.32
38,"D2 14:00
11-08-26",1.13,1.07
39,"D2 15:00
11-08-26",0.83,0.93
40,"D2 16:00
11-08-26",0.35,0.46
41,"D2 17:00
11-08-26",0.23,0.31
42,"D2 18:00
11-08-26",0.07,0.12
43,"D2 19:00
11-08-26",0.01,0.0
44,"D2 20:00
11-08-26",0.01,0.0
45,"D2 21:00
11-08-26",0.01,0.0
46,"D2 22:00
11-08-26",0.0,0.01
47,"D2 23:00
11-08-26",0.0,0.0
48,"D3 00:00
12-08-26",0.0,0.0
49,"D3 01:00
12-08-26",0.0,0.0
50,"D3 02:00
12-08-26",0.0,0.0
51,"D3 03:00
12-08-26",0.0,0.0
52,"D3 04:00
12-08-26",0.0,0.0
53,"D3 05:00
12-08-26",0.0,0.0
