TIME,VALUE
2026-08-14T00:00:00.000Z,  0.00
2026-08-14T01:00:00.000Z,  0.00
2026-08-14T02:00:00.000Z,  0.00
2026-08-14T03:00:00.000Z,  0.00
2026-08-14T04:00:00.000Z,  0.00
2026-08-14T05:00:00.000Z,  0.00
2026-08-14T06:00:00.000Z,  0.00
2026-08-14T07:00:00.000Z,  0.23
2026-08-14T08:00:00.000Z,  0.66
2026-08-14T09:00:00.000Z,  0.81
2026-08-14T10:00:00.000Z,  1.38
2026-08-14T11:00:00.000Z,  0.98
2026-08-14T12:00:00.000Z,  0.79
2026-08-14T13:00:00.000Z,  0.64
2026-08-14T14:00:00.000Z,  1.29
2026-08-14T15:00:00.000Z,  0.62
2026-08-14T16:00:00.000Z,  0.42
2026-08-14T17:00:00.000Z,  0.13
2026-08-14T18:00:00.000Z,  0.02
2026-08-14T19:00:00.000Z,  0.00
2026-08-14T20:00:00.000Z,  0.00
2026-08-14T21:00:00.000Z,  0.00
2026-08-14T22:00:00.000Z,  0.00
2026-08-14T23:00:00.000Z,  0.00
2026-08-15T00:00:00.000Z,  0.00
2026-08-15T01:00:00.000Z,  0.00
2026-08-15T02:00:00.000Z,  0.00
2026-08-15T03:00:00.000Z,  0.00
2026-08-15T04:00:00.000Z,  0.00
2026-08-15T05:00:00.000Z,  0.00
2026-08-15T06:00:00.000Z,  0.00
2026-08-15T07:00:00.000Z,  0.00
2026-08-15T08:00:00.000Z,  0.00
2026-08-15T09:00:00.000Z,  0.02
2026-08-15T10:00:00.000Z,  0.00
2026-08-15T11:00:00.000Z,  0.00
2026-08-15T12:00:00.000Z,  0.00
2026-08-15T13:00:00.000Z,  0.00
2026-08-15T14:00:00.000Z,  0.00
