TIME,VALUE
2026-08-18T00:00:00.000Z,  0.22
2026-08-18T01:00:00.000Z,  0.26
2026-08-18T02:00:00.000Z,  0.26
2026-08-18T03:00:00.000Z,  0.25
2026-08-18T04:00:00.000Z,  0.26
2026-08-18T05:00:00.000Z,  0.26
2026-08-18T06:00:00.000Z,  0.29
2026-08-18T07:00:00.000Z,  0.28
2026-08-18T08:00:00.000Z,  0.26
2026-08-18T09:00:00.000Z,  0.21
2026-08-18T10:00:00.000Z,  0.25
2026-08-18T11:00:00.000Z,  0.31
2026-08-18T12:00:00.000Z,  0.20
2026-08-18T13:00:00.000Z,  0.25
2026-08-18T14:00:00.000Z,  0.27
2026-08-18T15:00:00.000Z,  0.30
2026-08-18T16:00:00.000Z,  0.23
2026-08-18T17:00:00.000Z,  0.17
2026-08-18T18:00:00.000Z,  0.11
2026-08-18T19:00:00.000Z,  0.10
2026-08-18T20:00:00.000Z,  0.19
2026-08-18T21:00:00.000Z,  0.21
2026-08-18T22:00:00.000Z,  0.23
2026-08-18T23:00:00.000Z,  0.19
2026-08-19T00:00:00.000Z,  0.14
2026-08-19T01:00:00.000Z,  0.15
2026-08-19T02:00:00.000Z,  0.19
2026-08-19T03:00:00.000Z,  0.15
2026-08-19T04:00:00.000Z,  0.16
2026-08-19T05:00:00.000Z,  0.16
2026-08-19T06:00:00.000Z,  0.17
2026-08-19T07:00:00.000Z,  0.11
2026-08-19T08:00:00.000Z,  0.18
2026-08-19T09:00:00.000Z,  0.21
2026-08-19T10:00:00.000Z,  0.15
2026-08-19T11:00:00.000Z,  0.17
2026-08-19T12:00:00.000Z,  0.10
2026-08-19T13:00:00.000Z,  0.14
2026-08-19T14:00:00.000Z,  0.12
2026-08-19T15:00:00.000Z,  0.20
2026-08-19T16:00:00.000Z,  0.24
2026-08-19T17:00:00.000Z,  0.22
2026-08-19T18:00:00.000Z,  0.14
2026-08-19T19:00:00.000Z,  0.10
2026-08-19T20:00:00.000Z,  0.08
2026-08-19T21:00:00.000Z,  0.08
2026-08-19T22:00:00.000Z,  0.09
2026-08-19T23:00:00.000Z,  0.12
