TIME,VALUE
2026-08-14T00:00:00.000Z,  0.00
2026-08-14T01:00:00.000Z,  0.00
2026-08-14T02:00:00.000Z,  0.00
2026-08-14T03:00:00.000Z,  0.00
2026-08-14T04:00:00.000Z,  0.00
2026-08-14T05:00:00.000Z,  0.00
2026-08-14T06:00:00.000Z,  0.00
2026-08-14T07:00:00.000Z,  0.00
2026-08-14T08:00:00.000Z,  0.60
2026-08-14T09:00:00.000Z,  1.00
2026-08-14T10:00:00.000Z,  1.10
2026-08-14T11:00:00.000Z,  0.90
2026-08-14T12:00:00.000Z,  1.60
2026-08-14T13:00:00.000Z,  1.40
2026-08-14T14:00:00.000Z,  2.00
2026-08-14T15:00:00.000Z,  1.70
2026-08-14T16:00:00.000Z,  1.50
2026-08-14T17:00:00.000Z,  0.90
2026-08-14T18:00:00.000Z,  0.60
2026-08-14T19:00:00.000Z,  0.50
2026-08-14T20:00:00.000Z,  0.00
2026-08-14T21:00:00.000Z,  0.00
2026-08-14T22:00:00.000Z,  0.00
2026-08-14T23:00:00.000Z,  0.00
2026-08-15T00:00:00.000Z,  0.00
2026-08-15T01:00:00.000Z,  0.00
2026-08-15T02:00:00.000Z,  0.00
2026-08-15T03:00:00.000Z,  0.00
2026-08-15T04:00:00.000Z,  0.00
2026-08-15T05:00:00.000Z,  0.00
2026-08-15T06:00:00.000Z,  0.00
2026-08-15T07:00:00.000Z,  0.00
2026-08-15T08:00:00.000Z,  0.70
2026-08-15T09:00:00.000Z,  0.50
2026-08-15T10:00:00.000Z,  0.60
2026-08-15T11:00:00.000Z,  0.60
2026-08-15T12:00:00.000Z,  0.60
2026-08-15T13:00:00.000Z,  1.10
2026-08-15T14:00:00.000Z,  0.50
2026-08-15T15:00:00.000Z,  0.60
2026-08-15T16:00:00.000Z,  0.50
2026-08-15T17:00:00.000Z,  0.60
2026-08-15T18:00:00.000Z,  0.60
2026-08-15T19:00:00.000Z,  0.50
2026-08-15T20:00:00.000Z,  0.10
2026-08-15T21:00:00.000Z,  0.00
2026-08-15T22:00:00.000Z,  0.00
2026-08-15T23:00:00.000Z,  0.00
