TIME,VALUE
2026-08-20T00:00:00.000Z,  2.36
2026-08-20T01:00:00.000Z,  2.26
2026-08-20T02:00:00.000Z,  2.29
2026-08-20T03:00:00.000Z,  2.35
2026-08-20T04:00:00.000Z,  2.28
2026-08-20T05:00:00.000Z,  2.31
2026-08-20T06:00:00.000Z,  2.27
2026-08-20T07:00:00.000Z,  2.28
2026-08-20T08:00:00.000Z,  2.53
2026-08-20T09:00:00.000Z,  2.54
2026-08-20T10:00:00.000Z,  2.53
2026-08-20T11:00:00.000Z,  2.51
2026-08-20T12:00:00.000Z,  2.52
2026-08-20T13:00:00.000Z,  2.47
2026-08-20T14:00:00.000Z,  2.50
2026-08-20T15:00:00.000Z,  2.51
2026-08-20T16:00:00.000Z,  2.47
2026-08-20T17:00:00.000Z,  2.51
2026-08-20T18:00:00.000Z,  2.45
2026-08-20T19:00:00.000Z,  2.52
2026-08-20T20:00:00.000Z,  2.47
2026-08-20T21:00:00.000Z,  2.46
2026-08-20T22:00:00.000Z,  2.47
2026-08-20T23:00:00.000Z,  2.47
2026-08-21T00:00:00.000Z,  2.37
2026-08-21T01:00:00.000Z,  2.30
2026-08-21T02:00:00.000Z,  2.34
2026-08-21T03:00:00.000Z,  2.31
2026-08-21T04:00:00.000Z,  2.25
2026-08-21T05:00:00.000Z,  2.26
2026-08-21T06:00:00.000Z,  2.24
2026-08-21T07:00:00.000Z,  2.26
2026-08-21T08:00:00.000Z,  2.50
2026-08-21T09:00:00.000Z,  2.50
2026-08-21T10:00:00.000Z,  2.51
2026-08-21T11:00:00.000Z,  2.57
2026-08-21T12:00:00.000Z,  2.61
