lunes_semana;etiqueta;m3_con_wes;m3_sin_wes;ahorro_m3;rendimiento_pct;ahorro_clp;ocupacion_piscina
2026-05-04;04/05–10/05;269.5800;334.8300;65.2500;19.49;84825;operativa
2026-05-11;11/05–17/05;233.2000;334.8300;101.6300;30.35;132119;operativa
2026-05-18;18/05–24/05;192.7000;334.8300;142.1300;42.45;184769;operativa
2026-05-25;25/05–31/05;270.0600;334.8300;64.7700;19.34;84201;operativa
2026-06-01;01/06–07/06;273.5300;334.8300;61.3000;18.31;79690;operativa
2026-06-08;08/06–14/06;279.0800;334.8300;55.7500;16.65;72475;operativa
2026-06-15;15/06–21/06;62.9300;334.8300;271.9000;81.21;353470;receso
2026-06-22;22/06–28/06;217.7900;334.8300;117.0400;34.96;152152;operativa
2026-06-29;29/06–05/07;128.8700;334.8300;205.9600;61.51;267748;operativa
2026-07-06;06/07–12/07;161.9400;334.8300;172.8900;51.64;224757;operativa
2026-07-13;13/07–19/07;156.8200;334.8300;178.0100;53.16;231413;operativa
2026-07-20;20/07–26/07;224.0900;334.8300;110.7400;33.07;143962;operativa
2026-07-27;27/07–02/08;223.4800;334.8300;111.3500;33.26;144755;operativa
2026-08-03;03/08–09/08;201.4300;334.8300;133.4000;39.84;173420;operativa
2026-08-10;10/08–16/08;196.8400;334.8300;137.9900;41.21;179387;operativa
