fecha;total_m3;max_m3h;horas_cero;sin_datos;fuera_2pvc;pico_extremo;periodo
2025-12-25;19.2900;1.5980;4;0;0;0;pre_medidor
2025-12-26;19.0500;2.8800;4;0;0;0;pre_medidor
2025-12-27;21.6600;6.2600;4;0;0;0;pre_medidor
2025-12-28;19.0900;1.3100;4;0;0;0;pre_medidor
2025-12-29;33.1000;6.9000;4;0;0;0;pre_medidor
2025-12-30;59.3800;33.2200;4;0;1;1;pre_medidor
2025-12-31;13.4700;5.8200;4;0;0;0;pre_medidor
2026-01-01;6.7000;0.7900;6;0;0;0;pre_medidor
2026-01-02;26.2500;15.2600;7;0;1;0;pre_medidor
2026-01-03;46.8600;42.0800;10;0;1;1;pre_medidor
2026-01-04;15.8300;3.5274;4;0;0;0;pre_medidor
2026-01-05;39.9900;16.4800;4;0;1;0;pre_medidor
2026-01-06;10.4500;0.9943;5;0;0;0;pre_medidor
2026-01-07;5.0500;1.0100;7;0;0;0;pre_medidor
2026-01-08;15.1300;6.4400;8;0;0;0;pre_medidor
2026-01-09;7.1400;1.5000;5;0;0;0;pre_medidor
2026-01-10;8.9200;1.3738;5;0;0;0;pre_medidor
2026-01-11;8.3800;1.3600;4;0;0;0;pre_medidor
2026-01-12;14.9200;2.6800;11;0;0;0;pre_medidor
2026-01-13;14.4800;4.4247;6;0;0;0;pre_medidor
2026-01-14;4.6600;0.7557;7;0;0;0;pre_medidor
2026-01-15;18.0800;10.0246;5;0;0;0;pre_medidor
2026-01-16;18.6600;3.4100;4;0;0;0;pre_medidor
2026-01-17;20.1900;3.8000;4;0;0;0;pre_medidor
2026-01-18;25.7700;4.7127;4;0;0;0;pre_medidor
2026-01-19;27.8300;2.4511;4;0;0;0;pre_medidor
2026-01-20;26.4600;11.8200;3;0;0;0;pre_medidor
2026-01-21;7.8700;1.0507;5;0;0;0;pre_medidor
2026-01-22;8.8400;0.9952;5;0;0;0;pre_medidor
2026-01-23;14.2500;1.3187;5;0;0;0;pre_medidor
2026-01-24;28.2100;6.6000;3;0;0;0;pre_medidor
2026-01-25;31.5800;10.5800;3;0;0;0;pre_medidor
2026-01-26;21.4800;1.6770;4;0;0;0;pre_medidor
2026-01-27;21.3300;4.6100;4;0;0;0;pre_medidor
2026-01-28;20.0100;1.8054;4;0;0;0;pre_medidor
2026-01-29;13.9100;1.2575;3;0;0;0;pre_medidor
2026-01-30;23.6500;3.5845;4;0;0;0;pre_medidor
